ID,Gloss,Category,Precision,Recall,F1_score,Support,CategoryGroup
0,Country,Countries,100.0%,100.0%,100.0%,2,Countries
1,Thailand,Countries,100.0%,100.0%,100.0%,2,Countries
2,Laos,Countries,100.0%,100.0%,100.0%,2,Countries
4,Cambodia,Countries,100.0%,100.0%,100.0%,2,Countries
6,China,Countries,100.0%,100.0%,100.0%,2,Countries
11,Israel,Countries,100.0%,100.0%,100.0%,2,Countries
9,Taiwan,Countries,100.0%,100.0%,100.0%,2,Countries
8,Macau,Countries,100.0%,100.0%,100.0%,2,Countries
5,Vietnam,Countries,66.67%,100.0%,80.0%,2,Countries
10,Pakistan,Countries,100.0%,50.0%,66.67%,2,Countries
7,Hong Kong,Countries,100.0%,50.0%,66.67%,2,Countries
3,Myanmar,Countries,50.0%,50.0%,50.0%,2,Countries
118,Great-grandfather,Family & Relationships,100.0%,100.0%,100.0%,2,Family & Relationships
113,Children,Family & Relationships,100.0%,100.0%,100.0%,2,Family & Relationships
111,Dad,Family & Relationships,100.0%,100.0%,100.0%,2,Family & Relationships
110,Wife,Family & Relationships,100.0%,100.0%,100.0%,2,Family & Relationships
109,Husband,Family & Relationships,100.0%,100.0%,100.0%,2,Family & Relationships
131,Older sister,Family & Relationships,100.0%,100.0%,100.0%,2,Family & Relationships
129,Older brother,Family & Relationships,100.0%,100.0%,100.0%,2,Family & Relationships
126,Friend,Family & Relationships,100.0%,100.0%,100.0%,2,Family & Relationships
127,Close friend,Family & Relationships,100.0%,100.0%,100.0%,2,Family & Relationships
121,Great-grandchild,Family & Relationships,100.0%,100.0%,100.0%,2,Family & Relationships
136,Parent,Family & Relationships,66.67%,100.0%,80.0%,2,Family & Relationships
135,Family,Family & Relationships,66.67%,100.0%,80.0%,2,Family & Relationships
134,Cousin,Family & Relationships,66.67%,100.0%,80.0%,2,Family & Relationships
130,Younger brother,Family & Relationships,100.0%,50.0%,66.67%,2,Family & Relationships
133,Relative,Family & Relationships,100.0%,50.0%,66.67%,2,Family & Relationships
119,Great-grandmother,Family & Relationships,100.0%,50.0%,66.67%,2,Family & Relationships
115,Grandmother,Family & Relationships,50.0%,100.0%,66.67%,2,Family & Relationships
114,Grandfather,Family & Relationships,50.0%,100.0%,66.67%,2,Family & Relationships
116,Grandpa,Family & Relationships,100.0%,50.0%,66.67%,2,Family & Relationships
125,Aunt (Father's younger brother or sister),Family & Relationships,40.0%,100.0%,57.14%,2,Family & Relationships
120,Grandchild,Family & Relationships,50.0%,50.0%,50.0%,2,Family & Relationships
128,Girlfriend,Family & Relationships,50.0%,50.0%,50.0%,2,Family & Relationships
112,Mom,Family & Relationships,50.0%,50.0%,50.0%,2,Family & Relationships
132,Younger sister,Family & Relationships,50.0%,50.0%,50.0%,2,Family & Relationships
117,Grandma,Family & Relationships,0.0%,0.0%,0.0%,2,Family & Relationships
124,Uncle (Mother's younger brother or sister),Family & Relationships,0.0%,0.0%,0.0%,2,Family & Relationships
122,Uncle (Mother's or father's older brother),Family & Relationships,0.0%,0.0%,0.0%,2,Family & Relationships
145,Ladyboy,Genders,100.0%,100.0%,100.0%,1,Genders
137,Male,Genders,100.0%,100.0%,100.0%,2,Genders
139,Gay,Genders,100.0%,100.0%,100.0%,2,Genders
140,Transgender,Genders,66.67%,100.0%,80.0%,2,Genders
144,Tomboy,Genders,50.0%,100.0%,66.67%,1,Genders
143,Lesbian,Genders,100.0%,50.0%,66.67%,2,Genders
142,LGBTQ+,Genders,100.0%,50.0%,66.67%,2,Genders
141,Gender,Genders,50.0%,50.0%,50.0%,2,Genders
138,Female,Genders,33.33%,50.0%,40.0%,2,Genders
175,Century egg,Groceries,100.0%,100.0%,100.0%,2,Groceries
177,Pork,Groceries,100.0%,100.0%,100.0%,2,Groceries
174,Duck egg,Groceries,100.0%,100.0%,100.0%,2,Groceries
172,Egg,Groceries,100.0%,100.0%,100.0%,2,Groceries
173,Chicken egg,Groceries,100.0%,100.0%,100.0%,2,Groceries
182,Fish meat,Groceries,100.0%,100.0%,100.0%,2,Groceries
183,Grocery,Groceries,100.0%,100.0%,100.0%,2,Groceries
181,Venison,Groceries,100.0%,100.0%,100.0%,2,Groceries
180,Mutton,Groceries,100.0%,100.0%,100.0%,2,Groceries
176,Salted egg,Groceries,100.0%,100.0%,100.0%,2,Groceries
179,Beef,Groceries,66.67%,100.0%,80.0%,2,Groceries
178,Wild boar meat,Groceries,100.0%,50.0%,66.67%,2,Groceries
50,One,Numbers,100.0%,100.0%,100.0%,2,Numbers
49,Zero,Numbers,100.0%,100.0%,100.0%,2,Numbers
51,Two,Numbers,100.0%,100.0%,100.0%,2,Numbers
52,Three,Numbers,100.0%,100.0%,100.0%,2,Numbers
54,Five,Numbers,100.0%,100.0%,100.0%,2,Numbers
53,Four,Numbers,100.0%,100.0%,100.0%,2,Numbers
59,Ten,Numbers,100.0%,100.0%,100.0%,2,Numbers
57,Eight,Numbers,100.0%,100.0%,100.0%,2,Numbers
56,Seven,Numbers,100.0%,100.0%,100.0%,2,Numbers
55,Six,Numbers,50.0%,50.0%,50.0%,2,Numbers
58,Nine,Numbers,0.0%,0.0%,0.0%,2,Numbers
22,Hua Lamphong Railway Station,Special locations,100.0%,100.0%,100.0%,2,Special locations
21,Giant Swing,Special locations,100.0%,100.0%,100.0%,2,Special locations
19,Wat Phra That Doi Suthep,Special locations,100.0%,100.0%,100.0%,2,Special locations
13,Wat Pho,Special locations,100.0%,100.0%,100.0%,1,Special locations
20,Sanam Luang,Special locations,100.0%,100.0%,100.0%,2,Special locations
16,Temple of the Golden Mount,Special locations,100.0%,100.0%,100.0%,1,Special locations
36,Central Department Store,Special locations,100.0%,100.0%,100.0%,2,Special locations
37,MBK Center,Special locations,100.0%,100.0%,100.0%,2,Special locations
32,Lumphini Park,Special locations,100.0%,100.0%,100.0%,1,Special locations
33,The Memorial Monument of Thao Suranaree,Special locations,100.0%,100.0%,100.0%,2,Special locations
35,Siam Square,Special locations,100.0%,100.0%,100.0%,2,Special locations
31,Wongwian Yai,Special locations,100.0%,100.0%,100.0%,1,Special locations
28,Crocodile farm,Special locations,100.0%,100.0%,100.0%,2,Special locations
