nose_X,nose_Y,neck_X,neck_Y,leftEye_X,leftEye_Y,rightEye_X,rightEye_Y,leftEar_X,leftEar_Y,rightEar_X,rightEar_Y,leftShoulder_X,leftShoulder_Y,rightShoulder_X,rightShoulder_Y,leftElbow_X,leftElbow_Y,rightElbow_X,rightElbow_Y,leftWrist_X,leftWrist_Y,rightWrist_X,rightWrist_Y,wrist_0_X,wrist_0_Y,thumbCMC_0_X,thumbCMC_0_Y,thumbMP_0_X,thumbMP_0_Y,thumbIP_0_X,thumbIP_0_Y,thumbTip_0_X,thumbTip_0_Y,indexMCP_0_X,indexMCP_0_Y,indexPIP_0_X,indexPIP_0_Y,indexDIP_0_X,indexDIP_0_Y,indexTip_0_X,indexTip_0_Y,middleMCP_0_X,middleMCP_0_Y,middlePIP_0_X,middlePIP_0_Y,middleDIP_0_X,middleDIP_0_Y,middleTip_0_X,middleTip_0_Y,ringMCP_0_X,ringMCP_0_Y,ringPIP_0_X,ringPIP_0_Y,ringDIP_0_X,ringDIP_0_Y,ringTip_0_X,ringTip_0_Y,littleMCP_0_X,littleMCP_0_Y,littlePIP_0_X,littlePIP_0_Y,littleDIP_0_X,littleDIP_0_Y,littleTip_0_X,littleTip_0_Y,wrist_1_X,wrist_1_Y,thumbCMC_1_X,thumbCMC_1_Y,thumbMP_1_X,thumbMP_1_Y,thumbIP_1_X,thumbIP_1_Y,thumbTip_1_X,thumbTip_1_Y,indexMCP_1_X,indexMCP_1_Y,indexPIP_1_X,indexPIP_1_Y,indexDIP_1_X,indexDIP_1_Y,indexTip_1_X,indexTip_1_Y,middleMCP_1_X,middleMCP_1_Y,middlePIP_1_X,middlePIP_1_Y,middleDIP_1_X,middleDIP_1_Y,middleTip_1_X,middleTip_1_Y,ringMCP_1_X,ringMCP_1_Y,ringPIP_1_X,ringPIP_1_Y,ringDIP_1_X,ringDIP_1_Y,ringTip_1_X,ringTip_1_Y,littleMCP_1_X,littleMCP_1_Y,littlePIP_1_X,littlePIP_1_Y,littleDIP_1_X,littleDIP_1_Y,littleTip_1_X,littleTip_1_Y,labels
0.4775509,0.8141499,0.4699457,1.363321,0.4931953,0.69367486,0.45712167,0.6978353,0.5054846,0.7399766,0.44042063,0.74436325,0.558286,1.361212,0.38160542,1.36543,0.6081491,2.1898441,0.31502676,2.1850562,0.5227133,2.5277946,0.40560907,2.5456254,0.87276065,0.5194279,0.77350575,0.22795272,0.605412,0.08648384,0.44754443,0.083333544,0.31477597,0.10730339,0.48019567,0.415106,0.3054395,0.46299666,0.19924502,0.4803183,0.1272395,0.48607725,0.49874097,0.62021863,0.3358344,0.64955395,0.23060408,0.6501014,0.15033856,0.6370287,0.5247688,0.7754216,0.37334692,0.79799855,0.27932408,0.79197586,0.20327955,0.7844147,0.5538763,0.8880636,0.41394278,0.91666687,0.32998055,0.91514206,0.2607896,0.9098726,0.08333343,0.50911117,0.18378338,0.22288765,0.3254682,0.115376465,0.4724658,0.12731089,0.59046847,0.11870559,0.4444638,0.49746868,0.6632549,0.5056424,0.784037,0.48463663,0.8798887,0.46854722,0.44457558,0.67507535,0.6763095,0.65708447,0.8132252,0.62248534,0.91666675,0.6067848,0.43037742,0.78498656,0.6434736,0.8067236,0.7715129,0.79444486,0.8686197,0.7898112,0.41389787,0.84543794,0.5851467,0.8821311,0.69197077,0.8846232,0.77947176,0.88403547,0
0.47591478,0.8159649,0.46898407,1.3549705,0.49152622,0.6940969,0.45568,0.701827,0.5039708,0.7356015,0.43908343,0.7431897,0.55748487,1.352977,0.3804833,1.356964,0.6069947,2.1757727,0.3138512,2.1720712,0.52355695,2.515444,0.4044725,2.5304213,0.87149733,0.5153455,0.77047217,0.2306081,0.60455513,0.090384915,0.44992626,0.08333344,0.3188441,0.10564089,0.47852328,0.4124295,0.305103,0.458313,0.20069149,0.47514868,0.12850289,0.48067847,0.49710342,0.6169045,0.33540866,0.64436007,0.22988883,0.6449619,0.14852965,0.6324622,0.52393353,0.77334845,0.37393034,0.795111,0.2802976,0.7904142,0.20347208,0.78413093,0.55381906,0.8883411,0.41468665,0.91666675,0.3310188,0.9152983,0.260765,0.9107631,0.0833334,0.50470585,0.18663204,0.2216912,0.32928598,0.114355825,0.4765095,0.1274418,0.5946352,0.11992334,0.4454755,0.4952911,0.6638912,0.5047871,0.78503054,0.4837717,0.88100314,0.46806565,0.4453447,0.6717387,0.6763399,0.65753967,0.8131568,0.62422645,0.91666675,0.60966676,0.4308133,0.7813267,0.64333755,0.80656356,0.7713586,0.7960387,0.86820394,0.7916195,0.41285703,0.8427159,0.58250535,0.88172287,0.68712926,0.8856441,0.7725214,0.88560003,0
0.47513136,0.8156488,0.4685214,1.3533921,0.4907132,0.6937763,0.45495996,0.7016327,0.5032309,0.73466176,0.4384254,0.7426949,0.55709946,1.3514738,0.3799434,1.3553104,0.60681397,2.1735609,0.31325796,2.1696281,0.52408326,2.5135412,0.40301126,2.5277433,0.87929887,0.5211915,0.7754066,0.23383203,0.611115,0.0906564,0.4534771,0.08333317,0.3204573,0.10617353,0.48152295,0.4204655,0.3027412,0.46468413,0.1955356,0.47778726,0.12070133,0.47964913,0.4997381,0.6249181,0.3334057,0.6499208,0.22597048,0.6470614,0.14292027,0.63092947,0.5259767,0.7798022,0.37269437,0.79888487,0.27686304,0.7902646,0.1984006,0.780529,0.5553015,0.8907618,0.41431904,0.9166665,0.32977408,0.9133457,0.25938264,0.9076375,0.083333336,0.49534157,0.18695484,0.2164381,0.3300521,0.11204357,0.47722608,0.1235838,0.5947282,0.11142032,0.44859582,0.49185526,0.6641662,0.49785438,0.7844318,0.47560298,0.8799675,0.45923474,0.44830665,0.66593957,0.6772578,0.64881325,0.81356746,0.61446023,0.9166667,0.5990684,0.43239135,0.77446246,0.6436265,0.8021463,0.7715021,0.79249656,0.8677818,0.78812754,0.4124066,0.8356814,0.57960445,0.8789599,0.68241817,0.8858156,0.76597834,0.88858014,0
0.47539183,0.8156278,0.46861675,1.3543144,0.4908289,0.69367975,0.45554423,0.701717,0.503309,0.7344253,0.43840107,0.74289936,0.5571792,1.3525972,0.38005427,1.3560318,0.6071154,2.1742375,0.31321314,2.1695328,0.52505684,2.5157645,0.40163383,2.5279217,0.87448084,0.51579624,0.77097386,0.23216738,0.6052913,0.0907046,0.44913426,0.083333276,0.31795573,0.10884983,0.48104334,0.4167626,0.30430436,0.4667964,0.19856146,0.48236012,0.12551928,0.48583525,0.4996643,0.6197396,0.33483544,0.64860666,0.22799127,0.647527,0.14542545,0.63241845,0.525574,0.7746266,0.37363437,0.79667383,0.2787786,0.7905972,0.20152749,0.7818718,0.55412734,0.8885107,0.41380733,0.91666657,0.3291026,0.9144346,0.25852996,0.9079406,0.083333336,0.5039703,0.1866162,0.22160865,0.32888982,0.1172974,0.47699785,0.13053776,0.59538007,0.1193513,0.44706824,0.49670884,0.6645515,0.50650126,0.78497654,0.4853555,0.8806029,0.46996525,0.4477959,0.6729962,0.6785849,0.65631324,0.8142357,0.62193483,0.9166667,0.6072223,0.43321627,0.7822763,0.64600515,0.8063124,0.77297103,0.7951351,0.8687662,0.7906588,0.41470128,0.84277993,0.58497167,0.8798697,0.6890376,0.8827021,0.7735928,0.8817427,0
0.47576377,0.8150962,0.46837917,1.3544179,0.49097776,0.6932224,0.45658612,0.7015439,0.5032427,0.7340374,0.4382668,0.74286425,0.5569814,1.352765,0.37977698,1.3560708,0.60691726,2.1743133,0.31303024,2.1693208,0.5255011,2.5197902,0.4011752,2.527366,0.87385577,0.51480186,0.7695711,0.23304126,0.60397846,0.09060688,0.44911778,0.083333336,0.31821713,0.1105662,0.48027536,0.41483247,0.30381465,0.46357638,0.19877894,0.48006994,0.12614422,0.4846504,0.50029737,0.6178267,0.3358755,0.6458699,0.22932695,0.6467841,0.14729759,0.63434374,0.52797765,0.7728847,0.37657547,0.7956885,0.28184235,0.79254013,0.20495422,0.787034,0.55820537,0.88748634,0.4186875,0.9163727,0.33452114,0.9166667,0.26446304,0.9130808,0.0833334,0.5049201,0.18674499,0.22093228,0.32934868,0.11748695,0.47781947,0.1351506,0.59626603,0.12631612,0.4457752,0.49761242,0.6623626,0.5088817,0.7835343,0.48809463,0.8794317,0.47321874,0.44675872,0.6727882,0.6771951,0.6591536,0.8137914,0.62568384,0.91666675,0.6110337,0.43322757,0.7815086,0.64452875,0.8065152,0.77181023,0.7964559,0.86755675,0.7927514,0.4155381,0.84141284,0.5845604,0.8794816,0.6887315,0.8825134,0.77290493,0.8813498,0
0.47601098,0.81475425,0.46846643,1.3544046,0.49110657,0.693071,0.45723298,0.7015112,0.5032694,0.7339435,0.43827155,0.74302053,0.5570543,1.352874,0.3798786,1.3559351,0.6068345,2.1745985,0.3131678,2.1690261,0.52550906,2.5219603,0.40161705,2.5267558,0.87332773,0.5106362,0.7701199,0.23241113,0.60429704,0.092722885,0.44959727,0.08333343,0.31953782,0.10584296,0.47905988,0.41508985,0.30516332,0.4630964,0.20004486,0.48188514,0.12667218,0.48993066,0.49970642,0.61547214,0.33739144,0.64450365,0.23136993,0.65020955,0.14962159,0.643345,0.5280802,0.7683332,0.37765238,0.7927037,0.28217304,0.7943322,0.20438975,0.7943493,0.5588857,0.8814175,0.41995043,0.9121552,0.3352389,0.9159283,0.26423144,0.91666675,0.08333328,0.49950978,0.1869014,0.21787742,0.32947943,0.11472061,0.47754383,0.13154571,0.59571916,0.12149272,0.44378534,0.4946325,0.6603541,0.5049892,0.7816374,0.48458144,0.87762696,0.4704506,0.44463408,0.6704361,0.67560786,0.656298,0.81286174,0.6241746,0.91666657,0.61110234,0.43136722,0.7807601,0.6445944,0.805871,0.7726711,0.7965643,0.8695718,0.7938551,0.41434723,0.84300035,0.58552015,0.88098764,0.6902881,0.8848653,0.7756255,0.88527924,0
0.47647068,0.81475306,0.46912423,1.3548255,0.49159804,0.69348305,0.45787483,0.70214844,0.5037942,0.73439187,0.43869764,0.7439463,0.55760276,1.3535323,0.38064572,1.3561187,0.60705,2.1761506,0.31392175,2.1690762,0.52545553,2.5235784,0.4028552,2.5264273,0.8787541,0.51737607,0.7718785,0.23582368,0.6038544,0.093830094,0.4464897,0.08333313,0.31435725,0.10717525,0.48070613,0.41673192,0.30228376,0.4643786,0.19549455,0.48481396,0.12124604,0.49549365,0.50074995,0.6178349,0.33444652,0.6462918,0.22614811,0.6524376,0.14281864,0.647044,0.5284525,0.7714483,0.37525722,0.7945638,0.27847373,0.7956376,0.20010197,0.7960135,0.55827236,0.884498,0.41677475,0.9126604,0.33073646,0.91555196,0.25940663,0.9166665,0.0833334,0.48840806,0.18719351,0.20688145,0.3277481,0.10457776,0.47575325,0.11998275,0.5955041,0.107794374,0.4440572,0.48238412,0.6601191,0.49518684,0.78172636,0.47506964,0.8794496,0.46200773,0.4435338,0.66002214,0.6720184,0.6461166,0.80999106,0.6178606,0.91666675,0.60923684,0.427153,0.76996464,0.6376651,0.79996866,0.7663537,0.7958273,0.8654919,0.7958389,0.40741342,0.83168155,0.57325566,0.87822956,0.6751226,0.88923407,0.7592429,0.8954226,0
0.47672564,0.8145502,0.46955848,1.3543291,0.4919159,0.6939431,0.45824572,0.7027361,0.50419915,0.7346314,0.43902433,0.74441904,0.5579649,1.3533283,0.38115206,1.3553299,0.6072286,2.1782188,0.31496546,2.167991,0.52539116,2.5219336,0.40356502,2.5243237,0.87814254,0.52689606,0.7730695,0.23892882,0.6056711,0.09010731,0.44882703,0.08333339,0.31709546,0.10703454,0.4849216,0.40817675,0.3030402,0.457765,0.19555056,0.4778816,0.12185734,0.48691696,0.5034068,0.61345834,0.33276156,0.64048475,0.22362177,0.6427259,0.14064507,0.6323648,0.5288461,0.77107,0.372354,0.7921202,0.27502185,0.7893683,0.1967422,0.7847563,0.5559532,0.8888754,0.41179308,0.91666675,0.3254461,0.91647875,0.25440148,0.91370964,0.083333306,0.49774098,0.18600357,0.21303758,0.32718158,0.10594633,0.47532144,0.11946225,0.5945677,0.10806686,0.44325653,0.48394114,0.6608471,0.4940823,0.7824952,0.47352716,0.8795589,0.4600959,0.44308504,0.66147643,0.6733729,0.64618826,0.8111609,0.6165323,0.9166666,0.6061929,0.42756444,0.7728619,0.6396951,0.80071986,0.76817584,0.7937213,0.8668556,0.7918199,0.40851772,0.8364471,0.57592875,0.8800881,0.67847204,0.8889765,0.7629263,0.8940539,0
0.4768662,0.81442523,0.46987706,1.3523256,0.49211907,0.6945002,0.45839104,0.70329463,0.5045625,0.73489803,0.43924516,0.7447692,0.5582309,1.3521588,0.38152325,1.3524921,0.6069175,2.179718,0.3171792,2.1663857,0.52277106,2.5056667,0.40380022,2.5201187,0.8595764,0.504509,0.7716699,0.21811791,0.6124748,0.08333314,0.46917522,0.09672536,0.34896123,0.12123519,0.4816459,0.3996545,0.31210935,0.46507376,0.20742896,0.49343187,0.14042348,0.5053484,0.5001048,0.599133,0.34014213,0.64673537,0.23361504,0.6619156,0.15447605,0.6643085,0.5277388,0.74824935,0.37855393,0.78711104,0.286539,0.79961556,0.2157347,0.80859375,0.56030005,0.85579544,0.42612156,0.89469385,0.34574872,0.90775347,0.28103447,0.9166665,0.08333336,0.537964,0.17972246,0.25284877,0.32449213,0.13255784,0.47613528,0.13338749,0.5929245,0.10182023,0.43335715,0.504851,0.6524391,0.5118815,0.77641106,0.4881802,0.87398106,0.4720738,0.43804392,0.6838764,0.67174524,0.66815996,0.8114037,0.63325715,0.9166667,0.61262465,0.42684388,0.7949523,0.6418687,0.81999254,0.7719004,0.8071139,0.8706098,0.79371387,0.41056812,0.85463244,0.57849234,0.8948716,0.6827733,0.8981796,0.7696864,0.8924721,0
0.4776374,0.8153012,0.47077802,1.349578,0.49302694,0.695868,0.45917383,0.704114,0.5056252,0.7358718,0.44001862,0.74497753,0.5589811,1.3506639,0.38257492,1.3484921,0.60608166,2.1772146,0.3191995,2.1641524,0.521429,2.459017,0.40434626,2.5091002,0.8723024,0.52955836,0.7793193,0.22564685,0.61873376,0.08333319,0.46578598,0.10231269,0.33885354,0.13046199,0.48842016,0.39924273,0.31435397,0.47886539,0.20510781,0.52638584,0.1276975,0.5609667,0.50468314,0.60599715,0.33991483,0.654069,0.23082767,0.68101656,0.14109561,0.6996578,0.5306802,0.76375234,0.37889704,0.7965286,0.2796216,0.81341517,0.19529685,0.8288676,0.5604244,0.88492435,0.4207956,0.90631974,0.33483046,0.9120396,0.26223353,0.9166665,0.083333306,0.55043674,0.17885236,0.2662618,0.3217894,0.14871018,0.46937588,0.13930959,0.5828818,0.09586766,0.43222657,0.51865935,0.6473458,0.52611,0.77215624,0.5090513,0.8686082,0.49954852,0.4380574,0.69979393,0.668649,0.68754417,0.8095049,0.66153675,0.9166666,0.64796364,0.42959478,0.81380844,0.6419123,0.83171225,0.7725224,0.8192278,0.8731166,0.806795,0.41501018,0.87518144,0.5829437,0.90413254,0.6875875,0.9020073,0.77373856,0.89170456,0
