nose_X,nose_Y,neck_X,neck_Y,leftEye_X,leftEye_Y,rightEye_X,rightEye_Y,leftEar_X,leftEar_Y,rightEar_X,rightEar_Y,leftShoulder_X,leftShoulder_Y,rightShoulder_X,rightShoulder_Y,leftElbow_X,leftElbow_Y,rightElbow_X,rightElbow_Y,leftWrist_X,leftWrist_Y,rightWrist_X,rightWrist_Y,wrist_0_X,wrist_0_Y,thumbCMC_0_X,thumbCMC_0_Y,thumbMP_0_X,thumbMP_0_Y,thumbIP_0_X,thumbIP_0_Y,thumbTip_0_X,thumbTip_0_Y,indexMCP_0_X,indexMCP_0_Y,indexPIP_0_X,indexPIP_0_Y,indexDIP_0_X,indexDIP_0_Y,indexTip_0_X,indexTip_0_Y,middleMCP_0_X,middleMCP_0_Y,middlePIP_0_X,middlePIP_0_Y,middleDIP_0_X,middleDIP_0_Y,middleTip_0_X,middleTip_0_Y,ringMCP_0_X,ringMCP_0_Y,ringPIP_0_X,ringPIP_0_Y,ringDIP_0_X,ringDIP_0_Y,ringTip_0_X,ringTip_0_Y,littleMCP_0_X,littleMCP_0_Y,littlePIP_0_X,littlePIP_0_Y,littleDIP_0_X,littleDIP_0_Y,littleTip_0_X,littleTip_0_Y,wrist_1_X,wrist_1_Y,thumbCMC_1_X,thumbCMC_1_Y,thumbMP_1_X,thumbMP_1_Y,thumbIP_1_X,thumbIP_1_Y,thumbTip_1_X,thumbTip_1_Y,indexMCP_1_X,indexMCP_1_Y,indexPIP_1_X,indexPIP_1_Y,indexDIP_1_X,indexDIP_1_Y,indexTip_1_X,indexTip_1_Y,middleMCP_1_X,middleMCP_1_Y,middlePIP_1_X,middlePIP_1_Y,middleDIP_1_X,middleDIP_1_Y,middleTip_1_X,middleTip_1_Y,ringMCP_1_X,ringMCP_1_Y,ringPIP_1_X,ringPIP_1_Y,ringDIP_1_X,ringDIP_1_Y,ringTip_1_X,ringTip_1_Y,littleMCP_1_X,littleMCP_1_Y,littlePIP_1_X,littlePIP_1_Y,littleDIP_1_X,littleDIP_1_Y,littleTip_1_X,littleTip_1_Y,labels
0.505934,0.8208979,0.5,1.4162081,0.5203731,0.7014545,0.48576403,0.7061663,0.53192276,0.74395144,0.47117275,0.75893265,0.5833148,1.4099092,0.41668522,1.4225069,0.6436873,2.2259898,0.35651255,2.2519643,0.5556957,2.4285665,0.43746024,2.6083717,0.8135547,0.35265,0.6854829,0.13343044,0.5078768,0.08333328,0.37115496,0.11680514,0.2663744,0.15306145,0.4275857,0.3642328,0.30113313,0.49671727,0.23213065,0.56006193,0.18644542,0.5963567,0.47333464,0.5409064,0.3497981,0.65871894,0.27241856,0.70824623,0.21328679,0.7387214,0.5246759,0.6802244,0.40599757,0.77831703,0.33565333,0.8142937,0.27967787,0.83420837,0.57546186,0.78533983,0.46648213,0.86902875,0.40634397,0.9014812,0.35376325,0.91666657,0.1737678,0.51269555,0.28001872,0.31589353,0.40508884,0.20280425,0.51504344,0.15137365,0.5946616,0.083333544,0.44833842,0.48378012,0.61797273,0.5364323,0.71951365,0.55103594,0.79879236,0.5585056,0.4334451,0.6514903,0.62006664,0.70775086,0.73765624,0.7168915,0.826232,0.71358335,0.40843046,0.771747,0.5849463,0.8528535,0.69646925,0.8702468,0.77832615,0.86844206,0.3838049,0.84675,0.52747893,0.90174174,0.61441225,0.91666687,0.68183804,0.9148044,0
0.5061093,0.82512707,0.5,1.428075,0.5204187,0.7019993,0.48551401,0.70769525,0.5321159,0.74549687,0.47016636,0.7609955,0.5833124,1.4213957,0.41668758,1.4347543,0.6441073,2.247395,0.35206124,2.2638133,0.5447271,2.3551135,0.42892498,2.6082299,0.8093227,0.24723387,0.6672861,0.08333338,0.4927136,0.08480031,0.36674032,0.14958441,0.27254668,0.201902,0.425426,0.31427675,0.30643818,0.5228967,0.23908958,0.6413794,0.19067715,0.7254249,0.4750839,0.46857244,0.3481946,0.66701174,0.27016637,0.7652057,0.21364549,0.8303283,0.5343516,0.5998065,0.4077101,0.774519,0.33217946,0.85329163,0.27513424,0.9009065,0.5940123,0.7046073,0.47208214,0.8293627,0.40385005,0.8832573,0.3471001,0.91666675,0.2038607,0.49644902,0.3001231,0.30927494,0.4201363,0.21171185,0.5241451,0.16320103,0.5964317,0.08333342,0.46434024,0.48429456,0.6131748,0.5695145,0.70671034,0.5892036,0.7795683,0.5882088,0.44457313,0.6482164,0.6094101,0.7333053,0.71611863,0.7364988,0.7961395,0.71767133,0.41899753,0.76628995,0.5753874,0.86744314,0.6766776,0.87258476,0.7515374,0.85150313,0.39426464,0.8419384,0.5228319,0.9106688,0.5989801,0.9166668,0.6580167,0.8957046,0
0.50667274,0.8277505,0.5,1.432092,0.5211065,0.70314884,0.48588502,0.7097628,0.5327225,0.7473413,0.4692984,0.7634691,0.58331764,1.4263328,0.41668236,1.4378512,0.6430692,2.2544205,0.3436585,2.2245066,0.5412002,2.2286901,0.41270298,2.6060658,0.7490083,0.16100353,0.60282123,0.08333324,0.45024005,0.12948085,0.34345967,0.20966192,0.26370636,0.26644492,0.39474338,0.27161777,0.2775532,0.49347967,0.25099146,0.6089049,0.25143582,0.66443783,0.44287008,0.38844258,0.32272896,0.6271774,0.30632025,0.7274385,0.3135823,0.7707033,0.50557834,0.5040138,0.3913037,0.7280109,0.35616347,0.82978255,0.34385976,0.8809261,0.57748485,0.60879165,0.47854686,0.78365266,0.4339824,0.8668682,0.40676975,0.91666657,0.25401324,0.40353653,0.36174867,0.24503472,0.49125257,0.1708523,0.59819156,0.14039825,0.68095404,0.08333321,0.48564017,0.43104646,0.6382033,0.58132,0.71267885,0.56882554,0.7395156,0.5125652,0.4530681,0.59731555,0.63747144,0.74703467,0.7215143,0.7089516,0.74598676,0.6306766,0.42383683,0.7197114,0.59405994,0.8614452,0.6742201,0.8217348,0.7043254,0.7530956,0.39666405,0.8027541,0.53617865,0.91666657,0.60577,0.8907875,0.639458,0.83024573,0
0.5067653,0.8322343,0.5,1.4236166,0.5214015,0.7048175,0.48666057,0.7150634,0.533469,0.7481101,0.4684561,0.76868504,0.58332866,1.4267402,0.4166713,1.4204932,0.6353994,2.2590377,0.3294555,2.0930808,0.5286617,2.0640483,0.38821012,2.5981636,0.903223,0.26824665,0.7132227,0.1262767,0.44659865,0.1333415,0.24159989,0.24216194,0.09677722,0.352539,0.43598777,0.08333326,0.16757086,0.36417744,0.22534497,0.48147887,0.31771812,0.44944575,0.505863,0.26487434,0.22579433,0.6034902,0.30259502,0.6595655,0.39327848,0.57566,0.58585626,0.47474477,0.32693458,0.7878987,0.4024577,0.8041122,0.49527636,0.70862305,0.66705644,0.6935133,0.4496785,0.91325355,0.49908435,0.91666657,0.5838875,0.84589154,0.27334768,0.08333345,0.475547,0.10849059,0.6176668,0.2714665,0.67542195,0.44375408,0.70399433,0.56657565,0.5789695,0.47621053,0.72665256,0.7806629,0.68333155,0.695326,0.62957966,0.5728595,0.47346354,0.60743725,0.62596035,0.89404726,0.60474616,0.80286366,0.56144005,0.68124306,0.37544844,0.68634087,0.5159107,0.91666675,0.5070041,0.83012056,0.46913666,0.7270508,0.29290524,0.7212255,0.41945946,0.8924376,0.4189803,0.8157283,0.38190043,0.72699845,0
0.5074946,0.8407688,0.50000006,1.3924177,0.5222174,0.70787555,0.48874,0.7259778,0.5345349,0.74629503,0.47002184,0.77581316,0.58305544,1.4162558,0.4169446,1.3685795,0.61927915,2.2467399,0.3158498,1.9606746,0.5131259,1.9747639,0.36642975,2.5911105,0.8527696,0.6668604,0.7050918,0.4259043,0.45090455,0.2769252,0.24354221,0.33494344,0.14723058,0.4428878,0.5424665,0.08333343,0.2392703,0.21520841,0.30813232,0.33237585,0.4076953,0.3229646,0.5909368,0.3116842,0.26031974,0.4879827,0.35003173,0.56263244,0.45174283,0.5117999,0.62803614,0.57533133,0.322467,0.71907616,0.41680562,0.7553085,0.5215932,0.6974825,0.6533349,0.8453399,0.4178043,0.90318644,0.48617658,0.91666675,0.5799693,0.8911483,0.44215563,0.083333194,0.58307797,0.27221802,0.6372805,0.49344534,0.6152242,0.65358496,0.5653017,0.74910545,0.64093953,0.675754,0.62978166,0.91666657,0.59695387,0.85132366,0.59253776,0.7509955,0.54638135,0.6930195,0.52871543,0.8804429,0.51201826,0.8103166,0.51224136,0.7199084,0.4486195,0.6760587,0.43517768,0.8199347,0.43170688,0.74847186,0.4367509,0.6571272,0.3590607,0.63166887,0.3626886,0.7266113,0.36332628,0.657243,0.36494672,0.58267164,0
0.50737935,0.8460339,0.5,1.3736471,0.5219973,0.70924985,0.48856384,0.73542,0.53492576,0.7425616,0.47012207,0.7811587,0.58297503,1.4005812,0.417025,1.3467131,0.6055218,2.2193937,0.3106502,1.9156916,0.50434285,1.9279709,0.36038128,2.5726383,0.8548531,0.72582245,0.7082991,0.44555,0.45252997,0.26243135,0.23920284,0.284452,0.14514674,0.39866212,0.55174136,0.08333341,0.23482852,0.1617627,0.29615995,0.29273918,0.39646474,0.30442497,0.593767,0.32599822,0.25783935,0.4540482,0.3449616,0.54213494,0.44508502,0.5047379,0.62146425,0.6001541,0.30314907,0.69516695,0.39224085,0.74572355,0.49812186,0.7045032,0.6368431,0.8738774,0.38832164,0.89562154,0.45363885,0.91666675,0.5505264,0.9066436,0.48808724,0.0833332,0.5943832,0.3036434,0.62249357,0.5384392,0.5951852,0.6811027,0.54432577,0.75230306,0.63704354,0.7306116,0.5769984,0.91666657,0.5511374,0.8423889,0.5620787,0.75388587,0.5534183,0.73066187,0.48856416,0.867503,0.47535577,0.7886527,0.48987195,0.7063305,0.46506017,0.69492126,0.41593894,0.7998068,0.41379762,0.72405916,0.43275344,0.6440797,0.38606262,0.6338033,0.3629565,0.70472044,0.36555368,0.6354115,0.38073233,0.5686062,0
0.50585186,0.8574156,0.5,1.3459717,0.5206533,0.7145353,0.4872571,0.74663997,0.5344182,0.7353772,0.46956342,0.78247,0.582961,1.3729265,0.417039,1.3190172,0.58678347,2.169182,0.3049647,1.8500305,0.48550588,1.863673,0.3610508,2.5317008,0.84808546,0.77157503,0.705041,0.42727792,0.46705264,0.18726347,0.25092798,0.19917804,0.15191472,0.31918904,0.584393,0.08333341,0.25809598,0.11769407,0.3036517,0.26480082,0.3945678,0.28073454,0.60684055,0.34256363,0.2502889,0.40197203,0.32341716,0.51071507,0.42983395,0.4920465,0.61016315,0.6163,0.281444,0.6660551,0.36011016,0.7350342,0.47080287,0.7115526,0.5979664,0.8915041,0.3433431,0.8886828,0.40356869,0.91666675,0.5014133,0.9155781,0.55521137,0.08333347,0.6366305,0.33725852,0.6411266,0.57876724,0.60209864,0.70769584,0.54593575,0.76432985,0.6398114,0.80606943,0.544849,0.91666675,0.51927394,0.83337325,0.5374339,0.74961305,0.56805307,0.80113155,0.4689418,0.87418276,0.45791912,0.7896518,0.48394227,0.7096025,0.48994273,0.7545462,0.40417108,0.8075287,0.40758443,0.7228356,0.44171745,0.6488365,0.41844332,0.67606556,0.3588732,0.70868605,0.36754444,0.6320345,0.3993582,0.5685399,0
0.5040723,0.8617367,0.5,1.3271333,0.51901335,0.7184663,0.48553547,0.750532,0.53375715,0.7325695,0.46861786,0.7849535,0.5829982,1.3523561,0.41700178,1.3019106,0.5738034,2.1329489,0.30347246,1.8170167,0.46297136,1.8307769,0.364179,2.4891243,0.8306803,0.75566983,0.6936294,0.42381632,0.470563,0.19245504,0.25814947,0.20210405,0.1693194,0.33152452,0.5917463,0.083333194,0.25933224,0.12720247,0.2961489,0.26789767,0.38761395,0.2941794,0.6117895,0.34921485,0.25171584,0.42408758,0.3140499,0.51999116,0.4206857,0.49922615,0.6119302,0.62927675,0.27390927,0.6740814,0.34455302,0.7380094,0.4570681,0.7199544,0.59504676,0.906892,0.33192888,0.89486086,0.38299578,0.91666657,0.48218256,0.91585857,0.58420914,0.083333075,0.66435254,0.34231302,0.65581375,0.5943231,0.60611314,0.73195946,0.54186004,0.7916098,0.6470595,0.83929986,0.5466029,0.9166664,0.5229957,0.8168447,0.5442167,0.73686284,0.56591326,0.83801824,0.46307942,0.8905529,0.45412293,0.7938603,0.4822903,0.71698076,0.48243228,0.78925425,0.38836092,0.81985945,0.39520457,0.7249215,0.4347425,0.6546733,0.40612423,0.70281166,0.3356477,0.7063309,0.34958953,0.6195899,0.3895869,0.5601843,0
0.50299346,0.86102235,0.5,1.3095965,0.51786584,0.7207791,0.48448664,0.75227195,0.5326805,0.7297375,0.4677634,0.78379196,0.58301747,1.3338861,0.4169826,1.2853072,0.56628335,2.0906143,0.30367535,1.7946795,0.44683105,1.8159144,0.36973634,2.3734975,0.8151405,0.7077411,0.6736688,0.37514862,0.4490779,0.14783046,0.2544545,0.17375994,0.18485916,0.33218208,0.58284533,0.08333316,0.2759786,0.15812193,0.33023298,0.28304124,0.42364785,0.2942077,0.61702675,0.3415666,0.280422,0.43280005,0.3534292,0.51028794,0.45793095,0.48616856,0.6234583,0.61649776,0.31025606,0.68107706,0.3922557,0.7290547,0.4985158,0.69715923,0.61375254,0.8862478,0.3883335,0.9046846,0.44912156,0.9166665,0.5389986,0.9019809,0.6045474,0.08333322,0.67191184,0.3537206,0.6523745,0.6100449,0.59566927,0.73709625,0.5331966,0.78216726,0.6371842,0.8446704,0.5065381,0.91666657,0.48637685,0.8126227,0.51428276,0.7319558,0.5596478,0.83208984,0.42983294,0.86855096,0.42730018,0.7705167,0.46500134,0.6977108,0.47966683,0.7746311,0.36580357,0.795877,0.3775908,0.70174164,0.42293042,0.6387106,0.406303,0.6836215,0.32808837,0.68788433,0.34458658,0.60742897,0.38832697,0.5579086,0
0.502846,0.8614936,0.5,1.2824615,0.5175089,0.7262115,0.48414356,0.74988335,0.5321672,0.73273075,0.46723846,0.7761959,0.58294076,1.3090073,0.4170593,1.2559158,0.55998033,2.0112696,0.30957997,1.7705805,0.42596474,1.8612195,0.40213963,2.119192,0.85028046,0.59812826,0.6776105,0.3165182,0.41169727,0.16816087,0.21060176,0.23349477,0.14971937,0.438442,0.52841175,0.08333326,0.23566775,0.2192114,0.29646787,0.32404682,0.39186388,0.31671974,0.56944704,0.32995224,0.25346628,0.48410875,0.33380362,0.5502426,0.43861783,0.5107424,0.592253,0.5924011,0.2960247,0.7221921,0.37851447,0.7513388,0.4803081,0.7009299,0.6034438,0.85545444,0.37821904,0.9106117,0.44472614,0.91666657,0.53654015,0.8929715,0.25545287,0.08333326,0.39605895,0.24823545,0.54339063,0.44951457,0.6206316,0.63383913,0.6339213,0.8044962,0.69390154,0.32222256,0.7445473,0.5878219,0.69942254,0.78701526,0.6339293,0.91666657,0.62538683,0.2837805,0.6561137,0.55694693,0.6117789,0.7436621,0.5557373,0.8539157,0.5245875,0.25815263,0.53536224,0.52501315,0.48875433,0.68266296,0.4391828,0.7672541,0.40477216,0.23163562,0.39639738,0.45980445,0.36648116,0.5891117,0.33050817,0.66075546,0
