nose_X,nose_Y,neck_X,neck_Y,leftEye_X,leftEye_Y,rightEye_X,rightEye_Y,leftEar_X,leftEar_Y,rightEar_X,rightEar_Y,leftShoulder_X,leftShoulder_Y,rightShoulder_X,rightShoulder_Y,leftElbow_X,leftElbow_Y,rightElbow_X,rightElbow_Y,leftWrist_X,leftWrist_Y,rightWrist_X,rightWrist_Y,wrist_0_X,wrist_0_Y,thumbCMC_0_X,thumbCMC_0_Y,thumbMP_0_X,thumbMP_0_Y,thumbIP_0_X,thumbIP_0_Y,thumbTip_0_X,thumbTip_0_Y,indexMCP_0_X,indexMCP_0_Y,indexPIP_0_X,indexPIP_0_Y,indexDIP_0_X,indexDIP_0_Y,indexTip_0_X,indexTip_0_Y,middleMCP_0_X,middleMCP_0_Y,middlePIP_0_X,middlePIP_0_Y,middleDIP_0_X,middleDIP_0_Y,middleTip_0_X,middleTip_0_Y,ringMCP_0_X,ringMCP_0_Y,ringPIP_0_X,ringPIP_0_Y,ringDIP_0_X,ringDIP_0_Y,ringTip_0_X,ringTip_0_Y,littleMCP_0_X,littleMCP_0_Y,littlePIP_0_X,littlePIP_0_Y,littleDIP_0_X,littleDIP_0_Y,littleTip_0_X,littleTip_0_Y,wrist_1_X,wrist_1_Y,thumbCMC_1_X,thumbCMC_1_Y,thumbMP_1_X,thumbMP_1_Y,thumbIP_1_X,thumbIP_1_Y,thumbTip_1_X,thumbTip_1_Y,indexMCP_1_X,indexMCP_1_Y,indexPIP_1_X,indexPIP_1_Y,indexDIP_1_X,indexDIP_1_Y,indexTip_1_X,indexTip_1_Y,middleMCP_1_X,middleMCP_1_Y,middlePIP_1_X,middlePIP_1_Y,middleDIP_1_X,middleDIP_1_Y,middleTip_1_X,middleTip_1_Y,ringMCP_1_X,ringMCP_1_Y,ringPIP_1_X,ringPIP_1_Y,ringDIP_1_X,ringDIP_1_Y,ringTip_1_X,ringTip_1_Y,littleMCP_1_X,littleMCP_1_Y,littlePIP_1_X,littlePIP_1_Y,littleDIP_1_X,littleDIP_1_Y,littleTip_1_X,littleTip_1_Y,labels
0.29239008,0.55791,0.2908759,0.9556054,0.3139745,0.47776312,0.26363373,0.4785931,0.33253044,0.5022478,0.2456851,0.5149311,0.4090591,0.9512184,0.17269275,0.9599924,0.48300064,1.5144947,0.094064176,1.5228618,0.36629772,1.7523758,0.2106321,1.7748424,0.9166667,0.49173012,0.7769572,0.365363,0.5868159,0.3080664,0.41165632,0.2980136,0.2584672,0.31280282,0.49800476,0.44271007,0.29776487,0.46149194,0.17321333,0.4626644,0.083333336,0.45885545,0.5265529,0.5398867,0.33063015,0.5535329,0.19612665,0.55299395,0.09134055,0.5465308,0.56454104,0.61949944,0.37921378,0.6356493,0.2561721,0.6336091,0.16003017,0.6267374,0.6079513,0.6801549,0.44271195,0.70016974,0.33591628,0.7019867,0.25078878,0.7018094,0.08333335,0.4948702,0.19602294,0.38331473,0.35013455,0.33361715,0.49998394,0.3438369,0.62365586,0.35055766,0.455753,0.47710788,0.6730793,0.4659597,0.79022115,0.4537312,0.8834201,0.44523895,0.44920373,0.56499356,0.68181,0.5683651,0.8141194,0.5647081,0.9166666,0.5635911,0.4178667,0.62219113,0.62290996,0.6430951,0.748831,0.6425664,0.84494746,0.6389299,0.3794358,0.6555489,0.5359344,0.6663827,0.61998427,0.66212964,0.68098277,0.6547087,0
0.29291704,0.5581277,0.29101518,0.95830905,0.31423336,0.4760198,0.26403245,0.47916788,0.33270633,0.5004523,0.24587154,0.5144574,0.40917608,0.9544268,0.17285427,0.9621912,0.48271447,1.5189283,0.09333941,1.5272878,0.3643807,1.7462454,0.20912308,1.7804635,0.9166667,0.48405448,0.7642097,0.3535825,0.5724471,0.2963319,0.39674824,0.28903392,0.24538697,0.30801705,0.4900773,0.4348157,0.29169995,0.45899105,0.17045218,0.46218944,0.083333336,0.4593599,0.51829666,0.5356215,0.32272205,0.5541107,0.19189289,0.55558753,0.0911653,0.5499233,0.5566568,0.61936426,0.37036642,0.6394953,0.24806912,0.63998234,0.15386744,0.6350505,0.5996609,0.6833056,0.43119395,0.70559615,0.32394782,0.7093929,0.23894656,0.7109661,0.083333366,0.49394834,0.20034881,0.38493064,0.35423315,0.3343421,0.50300187,0.33973986,0.6255353,0.34315544,0.45287323,0.47461167,0.67343193,0.46356696,0.7929794,0.45010176,0.8876331,0.44102344,0.4469247,0.5619793,0.6811967,0.5666163,0.8147787,0.5625602,0.91666675,0.561144,0.41673037,0.61999387,0.6258284,0.64170504,0.7514827,0.63963157,0.845925,0.6345581,0.378438,0.6542337,0.53770274,0.6656581,0.62402636,0.6609746,0.6870567,0.6535217,0
0.29448044,0.5591696,0.29147044,0.95988935,0.31557697,0.4766438,0.26564258,0.4805176,0.33371812,0.5013866,0.24676111,0.51590055,0.40955523,0.9558784,0.17338564,0.9639004,0.48361415,1.5183569,0.0913618,1.5268567,0.3641552,1.7050043,0.20449719,1.7789466,0.91666675,0.46423143,0.76141006,0.33495128,0.5413007,0.28973076,0.3595493,0.30008957,0.21571553,0.32228553,0.44227472,0.43473122,0.25783312,0.48618656,0.15324092,0.51032984,0.08333339,0.5249485,0.487029,0.5364252,0.30731255,0.57625276,0.1957166,0.5922072,0.11333355,0.5997752,0.5393502,0.61628014,0.36952925,0.64577955,0.26570886,0.6543216,0.18580261,0.65723044,0.5903063,0.676013,0.43192527,0.7007538,0.33958945,0.70758647,0.26362076,0.7102691,0.083333336,0.49812686,0.21379049,0.39466378,0.37024486,0.33916318,0.5127837,0.32488817,0.62234306,0.30660087,0.45067403,0.4851967,0.67102367,0.49853057,0.79694384,0.49901307,0.8942829,0.4986961,0.4322572,0.57055336,0.668959,0.5904607,0.8105595,0.5912855,0.9166667,0.58925736,0.39625964,0.6301319,0.6170298,0.6633952,0.75091773,0.6668111,0.84910506,0.66330385,0.35719764,0.6670386,0.53092873,0.68984586,0.63379675,0.69339913,0.7128949,0.6910925,0
0.3052092,0.5640885,0.29747623,0.9723766,0.32605493,0.4819337,0.27694723,0.48529902,0.34317055,0.50909853,0.2526987,0.5229452,0.41456065,0.9687274,0.18039186,0.97602576,0.48958236,1.5335655,0.08518089,1.516855,0.35616124,1.546146,0.18255413,1.7798821,0.9166667,0.28388402,0.6749817,0.23576847,0.44260845,0.26391664,0.27329627,0.31487164,0.14680222,0.3534624,0.35577142,0.3623092,0.16695322,0.50888,0.10430535,0.59067553,0.08333337,0.63845414,0.42851746,0.43534932,0.23979448,0.5897299,0.19749773,0.6584576,0.19225119,0.69504464,0.52368313,0.50524664,0.3501785,0.6502304,0.28096247,0.7211506,0.24424528,0.76423144,0.6339859,0.5666317,0.49259377,0.66968596,0.414176,0.7243095,0.3555469,0.76078933,0.0833334,0.431963,0.26762247,0.32914022,0.4943863,0.2790437,0.6704201,0.25698748,0.7987314,0.22605203,0.49744666,0.4561767,0.7310881,0.5563663,0.8583714,0.55222577,0.90530616,0.5170102,0.44462165,0.5593265,0.73145616,0.6644586,0.8725343,0.64641565,0.91666675,0.59770036,0.39436674,0.63703173,0.6631821,0.7380945,0.80175525,0.7147733,0.8586352,0.6683875,0.34730518,0.6899268,0.57484996,0.77394795,0.69037944,0.7609631,0.74778414,0.72439843,0
0.3112464,0.56703997,0.3017623,0.98285514,0.3323659,0.48512706,0.2829365,0.4877264,0.3494213,0.5148914,0.2567969,0.5277181,0.41813302,0.9796365,0.18539166,0.9860737,0.49455237,1.5490274,0.08276008,1.5190479,0.3556348,1.5370656,0.17848596,1.789041,0.9166667,0.28004533,0.67340183,0.22749244,0.4281437,0.25878707,0.255884,0.31289604,0.12663387,0.3473255,0.34106007,0.35663673,0.1556931,0.5055235,0.0989839,0.58526963,0.08333332,0.6310751,0.4209432,0.4333246,0.22903064,0.5882731,0.1835452,0.6578748,0.18104427,0.69697195,0.520461,0.50689036,0.340769,0.6523368,0.26769456,0.7252035,0.2319984,0.77062225,0.63142484,0.57150835,0.4812663,0.6774737,0.40204868,0.7342875,0.34352538,0.7725074,0.08333332,0.44663,0.25827453,0.3409253,0.47088602,0.28731385,0.645804,0.26360482,0.7839129,0.22855873,0.4898986,0.46400145,0.71808445,0.5621966,0.8501582,0.5552583,0.9063857,0.51847804,0.43998882,0.56745344,0.71138793,0.66197306,0.85880524,0.64253753,0.9166667,0.5981588,0.39265677,0.6462871,0.64662874,0.7362467,0.7891218,0.7155792,0.8567219,0.67458403,0.3486633,0.7019694,0.5623551,0.7714411,0.68848914,0.7624449,0.7637196,0.7331145,0
0.31614545,0.57366925,0.30783308,0.98272145,0.33711153,0.48965192,0.28844774,0.49524945,0.3543565,0.51932114,0.2621432,0.5352354,0.42319423,0.9825666,0.19247194,0.9828763,0.48976573,1.5607084,0.072087064,1.4555246,0.34639442,1.4386363,0.15553528,1.791794,0.9166666,0.38934198,0.7138008,0.3358641,0.44165373,0.3432942,0.23466066,0.38857937,0.08333329,0.42884257,0.42399997,0.32414392,0.15152699,0.4420739,0.20458108,0.49614564,0.29866716,0.48764524,0.4949809,0.3984773,0.21144159,0.5376944,0.28231776,0.5690232,0.3729081,0.541397,0.5775451,0.48397052,0.31512663,0.61401993,0.3834535,0.63047594,0.47257555,0.598609,0.6633059,0.5724184,0.4433233,0.6652818,0.4847426,0.6758562,0.5630598,0.6546752,0.083333336,0.19818218,0.45982528,0.20792411,0.73136115,0.31058136,0.8530103,0.43182895,0.9078791,0.5282461,0.64111954,0.46765718,0.9166667,0.68426085,0.84051174,0.62409574,0.7391351,0.5405211,0.45295465,0.56393063,0.742485,0.7760917,0.7029382,0.7069522,0.6167877,0.61737555,0.28008407,0.62487155,0.5480027,0.80181783,0.53307056,0.7395639,0.45755592,0.6645631,0.133237,0.65510863,0.37374422,0.7873116,0.3765359,0.7332264,0.3052149,0.6683732,0
0.31882712,0.58281684,0.31157994,0.97068477,0.33952805,0.49443114,0.2920671,0.50432414,0.35670668,0.5203264,0.2664899,0.5406162,0.42631507,0.97333044,0.19684486,0.968039,0.47785005,1.5539844,0.062402442,1.4031409,0.3336288,1.4070454,0.14085884,1.7908683,0.91666657,0.5002202,0.733867,0.41782752,0.45820948,0.394207,0.2363731,0.43111184,0.083333276,0.4772834,0.4851924,0.3294344,0.17513628,0.41140702,0.24141961,0.45926604,0.34688246,0.45179936,0.54411393,0.4090724,0.21217448,0.51849586,0.29843667,0.5494727,0.40039417,0.52111465,0.6097735,0.50433666,0.3149294,0.6050387,0.4023144,0.6198103,0.50586027,0.5889087,0.67125493,0.60366035,0.43165684,0.6633967,0.49626842,0.6705655,0.5962699,0.65204555,0.11646419,0.14518999,0.51816005,0.24082303,0.7284232,0.42386562,0.7412778,0.6036554,0.6977848,0.7319589,0.7189124,0.53777283,0.91666675,0.804891,0.80773956,0.75138164,0.719258,0.6576739,0.4938771,0.60479504,0.6747737,0.85481024,0.6143252,0.79412013,0.5625718,0.6900891,0.2751772,0.6337321,0.43907687,0.82303846,0.41280964,0.7633862,0.3697831,0.6725775,0.08333339,0.6356588,0.25110397,0.7734008,0.25378138,0.71775407,0.21162426,0.6391566,0
0.32084784,0.5947961,0.31524253,0.9497032,0.3417044,0.500934,0.29521886,0.51785994,0.35985896,0.51954424,0.2709785,0.5479921,0.42932576,0.96340275,0.2011593,0.93600374,0.45658854,1.542229,0.057307284,1.3254942,0.31942666,1.351906,0.12858191,1.7823089,0.91666675,0.62664765,0.7647427,0.48120424,0.46749097,0.38572824,0.20996499,0.40215382,0.0833334,0.43372607,0.5996397,0.29716715,0.20972264,0.32518625,0.2798146,0.3872246,0.39599395,0.3916334,0.6463061,0.42205843,0.21925123,0.47541443,0.32372117,0.5166372,0.45194152,0.49619466,0.6726829,0.55984336,0.27112824,0.59675485,0.38072568,0.6176297,0.51908857,0.5970798,0.682601,0.69857216,0.37314963,0.69497883,0.451195,0.7028329,0.57463706,0.70163274,0.4908739,0.0833335,0.73036706,0.3057258,0.7844175,0.5303999,0.7132482,0.65983075,0.59653264,0.72815144,0.83897376,0.75349504,0.6637423,0.9166668,0.58381456,0.8448565,0.6015844,0.75534946,0.6642014,0.75754416,0.44867617,0.8726028,0.4111106,0.7898263,0.45523027,0.70428735,0.4632025,0.72311157,0.28719643,0.80447865,0.27447596,0.72706294,0.32518047,0.65022814,0.27637073,0.6632054,0.1610261,0.71796274,0.16214448,0.6469453,0.20324507,0.58015895,0
0.32514182,0.6067403,0.32248285,0.9345576,0.34628287,0.51023287,0.30055788,0.53133035,0.36671945,0.5230869,0.27808195,0.55745703,0.43531677,0.95362407,0.2096489,0.9154911,0.4284585,1.5278977,0.05394566,1.2879969,0.27411988,1.3194778,0.13795272,1.7435414,0.9166666,0.6331764,0.74933445,0.46590647,0.4694413,0.3489001,0.19533712,0.34977782,0.08333329,0.4044966,0.6238921,0.28362498,0.19670382,0.30552012,0.23235461,0.37908858,0.34601432,0.39636877,0.6472679,0.42277294,0.18600506,0.4596703,0.25586516,0.50828564,0.3894303,0.49863607,0.6473016,0.5692335,0.2131655,0.5887466,0.2972785,0.62016124,0.43993375,0.611551,0.62530607,0.7140445,0.29179913,0.70695084,0.3552673,0.71637493,0.47953188,0.7148965,0.69982743,0.083333485,0.89264125,0.35652602,0.87626624,0.6083737,0.7657275,0.74164534,0.6165972,0.7990588,0.84673816,0.8281277,0.6075362,0.9166668,0.5471111,0.8247643,0.5938097,0.7452559,0.6544448,0.8271453,0.4050895,0.8856559,0.3830566,0.79026836,0.45196834,0.71067953,0.45211044,0.78190047,0.232748,0.8197012,0.24553412,0.7279392,0.3385953,0.6544153,0.26991332,0.70067585,0.10735882,0.712982,0.13703349,0.6301956,0.23004466,0.56733125,0
0.32619724,0.6123088,0.32455942,0.92099416,0.3476969,0.51659524,0.30232406,0.5370102,0.36794865,0.52491975,0.28056544,0.5587913,0.43704006,0.9406191,0.2120788,0.90136915,0.42640087,1.505862,0.05449719,1.2683465,0.2705978,1.304787,0.14160126,1.719134,0.9166668,0.62265486,0.74479073,0.45859227,0.45226988,0.33899444,0.177358,0.34021416,0.08333341,0.402862,0.627735,0.27612966,0.18584016,0.30513966,0.22975607,0.37735456,0.3504149,0.39084345,0.65671813,0.4186805,0.1782596,0.45979485,0.25662708,0.5095673,0.40006182,0.49856922,0.659667,0.57008564,0.20395552,0.5904094,0.29446927,0.62477076,0.4466685,0.61511815,0.6385858,0.71999735,0.29171464,0.71597475,0.3584305,0.72387034,0.49169508,0.7193073,0.7293293,0.093035795,0.9166666,0.34920296,0.88861346,0.59514683,0.7671312,0.72758853,0.6169872,0.7765538,0.87092394,0.83424366,0.6163828,0.9069645,0.54385084,0.8111174,0.5799883,0.7321631,0.66212255,0.8314633,0.40035668,0.87314916,0.37235945,0.77820545,0.4361842,0.7051063,0.44983283,0.78039056,0.2089488,0.801361,0.22490829,0.707534,0.31953573,0.6418537,0.2582202,0.69119096,0.08333327,0.6883435,0.11828503,0.60136205,0.21360481,0.54329807,0
