nose_X,nose_Y,neck_X,neck_Y,leftEye_X,leftEye_Y,rightEye_X,rightEye_Y,leftEar_X,leftEar_Y,rightEar_X,rightEar_Y,leftShoulder_X,leftShoulder_Y,rightShoulder_X,rightShoulder_Y,leftElbow_X,leftElbow_Y,rightElbow_X,rightElbow_Y,leftWrist_X,leftWrist_Y,rightWrist_X,rightWrist_Y,wrist_0_X,wrist_0_Y,thumbCMC_0_X,thumbCMC_0_Y,thumbMP_0_X,thumbMP_0_Y,thumbIP_0_X,thumbIP_0_Y,thumbTip_0_X,thumbTip_0_Y,indexMCP_0_X,indexMCP_0_Y,indexPIP_0_X,indexPIP_0_Y,indexDIP_0_X,indexDIP_0_Y,indexTip_0_X,indexTip_0_Y,middleMCP_0_X,middleMCP_0_Y,middlePIP_0_X,middlePIP_0_Y,middleDIP_0_X,middleDIP_0_Y,middleTip_0_X,middleTip_0_Y,ringMCP_0_X,ringMCP_0_Y,ringPIP_0_X,ringPIP_0_Y,ringDIP_0_X,ringDIP_0_Y,ringTip_0_X,ringTip_0_Y,littleMCP_0_X,littleMCP_0_Y,littlePIP_0_X,littlePIP_0_Y,littleDIP_0_X,littleDIP_0_Y,littleTip_0_X,littleTip_0_Y,wrist_1_X,wrist_1_Y,thumbCMC_1_X,thumbCMC_1_Y,thumbMP_1_X,thumbMP_1_Y,thumbIP_1_X,thumbIP_1_Y,thumbTip_1_X,thumbTip_1_Y,indexMCP_1_X,indexMCP_1_Y,indexPIP_1_X,indexPIP_1_Y,indexDIP_1_X,indexDIP_1_Y,indexTip_1_X,indexTip_1_Y,middleMCP_1_X,middleMCP_1_Y,middlePIP_1_X,middlePIP_1_Y,middleDIP_1_X,middleDIP_1_Y,middleTip_1_X,middleTip_1_Y,ringMCP_1_X,ringMCP_1_Y,ringPIP_1_X,ringPIP_1_Y,ringDIP_1_X,ringDIP_1_Y,ringTip_1_X,ringTip_1_Y,littleMCP_1_X,littleMCP_1_Y,littlePIP_1_X,littlePIP_1_Y,littleDIP_1_X,littleDIP_1_Y,littleTip_1_X,littleTip_1_Y,labels
0.50984794,0.8294212,0.5,1.4209098,0.5238247,0.7050469,0.4898692,0.71448267,0.53417647,0.7518495,0.47203565,0.7664003,0.5832902,1.4114228,0.41670978,1.4303967,0.64460933,2.2183313,0.34955043,2.2551224,0.5626083,2.5197043,0.4423787,2.5947928,0.8724439,0.47589728,0.75306374,0.21001875,0.59555876,0.083333224,0.44931906,0.10993025,0.32769778,0.13113117,0.5106711,0.32531583,0.32708496,0.37238047,0.212091,0.39114,0.12755588,0.3980447,0.5265748,0.5337702,0.34826517,0.5645128,0.22913031,0.58137417,0.1340091,0.58379346,0.54943573,0.7031211,0.38474733,0.7475521,0.27358946,0.7680496,0.18572164,0.7780593,0.5788731,0.83798677,0.43770623,0.8847967,0.34586412,0.9043099,0.26752996,0.91666657,0.08333336,0.54764587,0.18584393,0.25924385,0.33723956,0.101520196,0.481433,0.11520836,0.55848897,0.1871136,0.43342838,0.4623824,0.6551179,0.4590276,0.7739306,0.42079848,0.8639298,0.38286537,0.43374345,0.6803446,0.67673737,0.6948185,0.8146803,0.678545,0.9166667,0.66804826,0.4164786,0.824567,0.63956803,0.8627491,0.7728249,0.8502257,0.86810166,0.82935125,0.39085436,0.8984801,0.5611774,0.8979555,0.6582305,0.8670134,0.7279227,0.8329546,0
0.50980175,0.8302604,0.5,1.4223682,0.5238279,0.7051046,0.48984897,0.7152671,0.5343018,0.7520182,0.47187412,0.76725453,0.58328986,1.4128429,0.41671014,1.4318933,0.6448356,2.218399,0.34937966,2.2569926,0.563071,2.518112,0.44250226,2.5966046,0.874604,0.47790515,0.75831074,0.21249998,0.60009676,0.083333224,0.45373425,0.10792519,0.3325531,0.121073544,0.5102415,0.32490858,0.32705837,0.36659312,0.21129082,0.38382366,0.1253958,0.39125296,0.52605706,0.53341025,0.34693903,0.5608057,0.2273147,0.5768834,0.1294631,0.5807879,0.54884887,0.7034547,0.38344288,0.74692786,0.2716118,0.7660044,0.18106921,0.77564895,0.5781665,0.83980733,0.43580726,0.88785225,0.34331626,0.90559876,0.26288643,0.91666657,0.08333344,0.54872173,0.1857676,0.25758392,0.33893374,0.10036236,0.48316374,0.117411956,0.5569009,0.19406554,0.43617582,0.46372497,0.65734595,0.45866868,0.77658635,0.4219728,0.86725116,0.38701066,0.43652278,0.68220574,0.6775098,0.6984411,0.8149642,0.68399656,0.91666675,0.6758072,0.41905454,0.82634443,0.6406585,0.86521316,0.7729216,0.85114956,0.86746836,0.8306126,0.39321876,0.8996373,0.56227875,0.8979758,0.6580022,0.8667867,0.7264528,0.834797,0
0.5097399,0.8320555,0.5,1.4209999,0.5238257,0.70557696,0.48983926,0.7167676,0.5344726,0.75205594,0.47178358,0.76812875,0.5832912,1.4116336,0.41670886,1.4303663,0.64497197,2.2152474,0.34923992,2.2541687,0.56338173,2.5131063,0.44248167,2.593767,0.87591916,0.4825374,0.75798404,0.21451801,0.60027015,0.08333305,0.4526326,0.111067645,0.3308914,0.1249133,0.5075588,0.33221647,0.3223079,0.36636326,0.20882276,0.37845635,0.12408086,0.3827304,0.5221003,0.5452416,0.3404658,0.56717837,0.22224939,0.57983863,0.12620045,0.5825085,0.5444311,0.71775556,0.3763334,0.75646585,0.2661111,0.77083594,0.1777365,0.7777641,0.5732584,0.8544281,0.42719352,0.89772046,0.33439425,0.90976185,0.25493166,0.9166664,0.08333344,0.54932404,0.18427731,0.2572144,0.33693764,0.10128919,0.48180312,0.11343519,0.5602938,0.1792822,0.44099483,0.46559885,0.6599191,0.45912522,0.7779118,0.42094204,0.86725897,0.3845418,0.44087005,0.6838807,0.67810297,0.6987142,0.81472,0.68389803,0.91666675,0.6757107,0.4231487,0.8268607,0.6401694,0.86179477,0.77119166,0.8487909,0.8666669,0.83083355,0.3981889,0.8987105,0.56612056,0.8961808,0.6630733,0.8669181,0.7339839,0.83778125,0
0.5096382,0.8346538,0.5,1.4179883,0.52379566,0.70646983,0.4897802,0.7191973,0.5344829,0.75188935,0.47168508,0.7694685,0.5832934,1.408901,0.41670662,1.4270756,0.64509887,2.2092302,0.3489793,2.2477582,0.56346464,2.5065074,0.44237,2.5878196,0.8690315,0.48008847,0.753355,0.21437965,0.5992858,0.08333345,0.45227072,0.1149054,0.3300237,0.13308325,0.5030503,0.33619434,0.3221399,0.37013364,0.21318217,0.38155496,0.13096842,0.38397697,0.51846963,0.54829735,0.34065086,0.57171947,0.22539176,0.583931,0.13194129,0.58574146,0.5428319,0.7195772,0.378071,0.7592602,0.27051678,0.77384865,0.18429686,0.7791746,0.57416993,0.855711,0.43049112,0.8988564,0.34068862,0.9105556,0.26374504,0.91666675,0.08333336,0.55093604,0.18342574,0.2559417,0.33515456,0.10033332,0.4807373,0.11139116,0.56405705,0.17332512,0.4399812,0.4646479,0.6583334,0.45790508,0.7762739,0.4200149,0.8664885,0.38412043,0.44121894,0.68403494,0.676305,0.69847286,0.81321186,0.6830182,0.9166667,0.67399335,0.42393556,0.827854,0.63831204,0.86130124,0.76868105,0.8488302,0.8643638,0.8320384,0.39951584,0.8996665,0.566881,0.8976807,0.6644176,0.871744,0.7366328,0.847158,0
0.50938106,0.83734137,0.5,1.4126506,0.52363306,0.70813334,0.489567,0.72225314,0.5343792,0.751446,0.47143894,0.77122545,0.58329344,1.4036231,0.41670653,1.4216781,0.64522034,2.2000928,0.3481916,2.2347298,0.56340516,2.4967995,0.44174263,2.5771692,0.87240875,0.4841699,0.7570511,0.21634583,0.6009608,0.083333336,0.4520561,0.11063906,0.32814887,0.13085665,0.50558364,0.33324784,0.32429108,0.36587965,0.2132058,0.37509233,0.12917437,0.3745908,0.5203196,0.54693747,0.34185645,0.56980443,0.22410956,0.580774,0.12759152,0.5792598,0.544116,0.7227541,0.3785626,0.7612551,0.26858118,0.7730254,0.17947012,0.77409446,0.5757403,0.8651126,0.43087658,0.9053648,0.33807132,0.91372323,0.25764236,0.9166667,0.083333306,0.5462565,0.18470699,0.2553338,0.3377692,0.09954578,0.48166332,0.11074336,0.5572735,0.18195882,0.44144222,0.46267143,0.66021234,0.4568172,0.7797793,0.4224167,0.87076527,0.3906161,0.4421194,0.6815561,0.67736924,0.6996632,0.81462705,0.6872085,0.9166666,0.68115246,0.42411897,0.8264025,0.6386176,0.8634839,0.7700023,0.8525533,0.865084,0.8373662,0.39849004,0.89919305,0.56442505,0.90045387,0.6618741,0.875751,0.73344433,0.8525386,0
0.50921744,0.8401735,0.5,1.4046528,0.5235533,0.71010053,0.48950055,0.7244144,0.5343661,0.75118244,0.47126395,0.77098656,0.5832949,1.3958441,0.41670516,1.4134618,0.64523906,2.1871023,0.3473594,2.2155123,0.5633513,2.4829948,0.44083986,2.5579126,0.8832488,0.50124717,0.7713285,0.22300598,0.6072975,0.083333105,0.45519623,0.108398795,0.33031094,0.12240364,0.50310284,0.33443233,0.32158896,0.37183297,0.20696205,0.38194248,0.121143214,0.38177416,0.5176881,0.5518133,0.33930832,0.5721049,0.21771179,0.58205706,0.11675103,0.58046204,0.5403821,0.7311749,0.37500072,0.7603298,0.26279712,0.76782614,0.17014362,0.76787955,0.57124406,0.8805939,0.42463204,0.9136046,0.3292769,0.91666645,0.24577893,0.9166003,0.08702633,0.50688124,0.20241363,0.23490787,0.35706836,0.08333339,0.49655855,0.10591875,0.56503767,0.20041189,0.44870746,0.43247017,0.66197056,0.46088552,0.7824866,0.45578542,0.87471396,0.44775164,0.44192427,0.65049446,0.6726027,0.7058197,0.8105436,0.72278684,0.9129738,0.7363348,0.4168582,0.8016123,0.6282559,0.86924654,0.7607619,0.8857996,0.85784245,0.8920736,0.3846401,0.8860655,0.5511913,0.91666675,0.6483101,0.91275364,0.71932983,0.90428686,0
0.5088978,0.84157187,0.5,1.399315,0.5233559,0.7117769,0.48942256,0.7258309,0.53421736,0.7520225,0.47077438,0.77139574,0.58329606,1.3906983,0.4167039,1.4079316,0.6450112,2.1786284,0.3458716,2.1882315,0.56287545,2.4757726,0.43368587,2.5205827,0.8994851,0.5083849,0.78850913,0.23508109,0.61641127,0.08333315,0.4612352,0.094446704,0.3377579,0.08442673,0.5160078,0.34316817,0.32407263,0.3744442,0.20083185,0.3753534,0.10776987,0.3708256,0.52532357,0.56366754,0.33933276,0.56631446,0.21074688,0.5670999,0.10051509,0.55720854,0.5402177,0.74408096,0.3691831,0.75650465,0.25155917,0.7542053,0.15272234,0.74281573,0.55974203,0.8985462,0.40745977,0.91666645,0.3095282,0.91259235,0.22174762,0.9036854,0.16302247,0.39470282,0.2770317,0.19447558,0.40966508,0.083333336,0.5251843,0.107897945,0.58810264,0.21088871,0.46464777,0.35345727,0.6395883,0.4404368,0.7426096,0.4867723,0.8228221,0.5226455,0.44641507,0.5289592,0.6338541,0.64766073,0.74988115,0.71334517,0.83697754,0.7633083,0.41596735,0.6656172,0.5818254,0.79178995,0.69151586,0.8608174,0.773688,0.90995276,0.3810303,0.7610576,0.51929957,0.8494114,0.60528725,0.890063,0.67253184,0.9166667,0
0.50810117,0.8406251,0.5,1.3953161,0.5226126,0.711118,0.4888154,0.7257115,0.5335392,0.7511085,0.4701742,0.7713912,0.5833064,1.38797,0.4166936,1.4026625,0.643642,2.1795535,0.34179837,2.149364,0.55851156,2.476219,0.4176228,2.3987541,0.8782634,0.5294256,0.7777675,0.27289337,0.60877264,0.121319816,0.4712571,0.12461194,0.36143222,0.08333316,0.5125821,0.36745226,0.33371264,0.37508568,0.21490674,0.35765803,0.12896624,0.33896604,0.5185984,0.57486296,0.33409408,0.5688154,0.2180933,0.5471922,0.121736825,0.5242185,0.5332059,0.7434772,0.35631272,0.75588864,0.24957061,0.73002476,0.16809462,0.6982886,0.5571918,0.89368874,0.39381325,0.9166665,0.2979594,0.894982,0.22377585,0.8639572,0.18710825,0.24198344,0.33020478,0.12286605,0.47895098,0.08333351,0.5943045,0.12679987,0.6715826,0.22478057,0.5053384,0.26772627,0.65679914,0.42725307,0.74569434,0.5213282,0.81289184,0.58579457,0.4636652,0.4229648,0.6244348,0.6099816,0.7199458,0.7104668,0.7925657,0.7769554,0.4091361,0.5537814,0.5534754,0.7347601,0.6411499,0.8331821,0.70758736,0.9001036,0.35077167,0.6550791,0.4648119,0.7940732,0.5367264,0.86635345,0.5949312,0.9166668,0
0.5052567,0.84175634,0.5,1.3829566,0.5203852,0.71111417,0.48623255,0.7291673,0.532059,0.7470489,0.4690512,0.7721332,0.5833231,1.3784258,0.4166769,1.3874874,0.6408708,2.1924102,0.33805582,2.1084814,0.5420816,2.4648528,0.3964344,2.160394,0.80408436,0.56630254,0.7032259,0.3120138,0.54672855,0.15628925,0.41362026,0.14484157,0.31336406,0.083333336,0.49353406,0.35317814,0.25584742,0.40050745,0.19591591,0.3612477,0.21494295,0.31756616,0.49726403,0.57251537,0.2343975,0.5874784,0.20144758,0.5129011,0.24623604,0.4661903,0.5095165,0.7562176,0.26789352,0.77223843,0.25129172,0.6879099,0.30146134,0.6329948,0.5309889,0.91183215,0.33483317,0.9166667,0.31159073,0.8402711,0.34210357,0.7897192,0.11263304,0.17433251,0.34570086,0.10429228,0.5919235,0.13091941,0.76595175,0.20006739,0.8873668,0.3157781,0.58538574,0.083333656,0.75537,0.3682898,0.83873045,0.57867694,0.88180923,0.75530136,0.4625271,0.18202733,0.6189269,0.47146696,0.68385,0.66850394,0.7150679,0.80793643,0.32374224,0.3183307,0.46305916,0.60104096,0.53074664,0.78761756,0.5766893,0.9050742,0.18671599,0.4756034,0.29075703,0.7107814,0.34520742,0.84053385,0.38349438,0.916667,0
0.5023344,0.8457236,0.5,1.3660021,0.51800317,0.7126593,0.48345524,0.7359434,0.53037864,0.7427844,0.46769002,0.7757763,0.58332276,1.3614253,0.41667724,1.3705789,0.6306336,2.196051,0.332815,2.07639,0.52021337,2.404037,0.37667745,1.8437192,0.79505557,0.5988973,0.70197755,0.29986733,0.54101884,0.12635559,0.3959177,0.10632033,0.27967352,0.0833332,0.48544505,0.32009667,0.22637628,0.33721262,0.20494421,0.2651151,0.26742294,0.22729315,0.4885916,0.5564284,0.21140338,0.5359601,0.21586959,0.45079115,0.29163203,0.43108734,0.5012489,0.7532607,0.24425577,0.72474945,0.26465538,0.6436544,0.3406037,0.62248933,0.521221,0.91666657,0.31592414,0.8736389,0.3310136,0.80445164,0.3974086,0.7896949,0.11355968,0.916667,0.38942143,0.7825545,0.6752007,0.50870204,0.85979086,0.2842513,0.91171557,0.11349129,0.6739567,0.10153682,0.8051652,0.08333365,0.7175524,0.21489865,0.67117536,0.28693035,0.5016207,0.11851008,0.5885297,0.13908012,0.5320242,0.2524545,0.5099304,0.3121329,0.29672468,0.21135302,0.36162233,0.23678212,0.33307827,0.3262475,0.32193244,0.37122348,0.088284574,0.33391508,0.14448209,0.33585912,0.1481859,0.4166933,0.14312586,0.4630892,0
