nose_X,nose_Y,neck_X,neck_Y,leftEye_X,leftEye_Y,rightEye_X,rightEye_Y,leftEar_X,leftEar_Y,rightEar_X,rightEar_Y,leftShoulder_X,leftShoulder_Y,rightShoulder_X,rightShoulder_Y,leftElbow_X,leftElbow_Y,rightElbow_X,rightElbow_Y,leftWrist_X,leftWrist_Y,rightWrist_X,rightWrist_Y,wrist_0_X,wrist_0_Y,thumbCMC_0_X,thumbCMC_0_Y,thumbMP_0_X,thumbMP_0_Y,thumbIP_0_X,thumbIP_0_Y,thumbTip_0_X,thumbTip_0_Y,indexMCP_0_X,indexMCP_0_Y,indexPIP_0_X,indexPIP_0_Y,indexDIP_0_X,indexDIP_0_Y,indexTip_0_X,indexTip_0_Y,middleMCP_0_X,middleMCP_0_Y,middlePIP_0_X,middlePIP_0_Y,middleDIP_0_X,middleDIP_0_Y,middleTip_0_X,middleTip_0_Y,ringMCP_0_X,ringMCP_0_Y,ringPIP_0_X,ringPIP_0_Y,ringDIP_0_X,ringDIP_0_Y,ringTip_0_X,ringTip_0_Y,littleMCP_0_X,littleMCP_0_Y,littlePIP_0_X,littlePIP_0_Y,littleDIP_0_X,littleDIP_0_Y,littleTip_0_X,littleTip_0_Y,wrist_1_X,wrist_1_Y,thumbCMC_1_X,thumbCMC_1_Y,thumbMP_1_X,thumbMP_1_Y,thumbIP_1_X,thumbIP_1_Y,thumbTip_1_X,thumbTip_1_Y,indexMCP_1_X,indexMCP_1_Y,indexPIP_1_X,indexPIP_1_Y,indexDIP_1_X,indexDIP_1_Y,indexTip_1_X,indexTip_1_Y,middleMCP_1_X,middleMCP_1_Y,middlePIP_1_X,middlePIP_1_Y,middleDIP_1_X,middleDIP_1_Y,middleTip_1_X,middleTip_1_Y,ringMCP_1_X,ringMCP_1_Y,ringPIP_1_X,ringPIP_1_Y,ringDIP_1_X,ringDIP_1_Y,ringTip_1_X,ringTip_1_Y,littleMCP_1_X,littleMCP_1_Y,littlePIP_1_X,littlePIP_1_Y,littleDIP_1_X,littleDIP_1_Y,littleTip_1_X,littleTip_1_Y,labels
0.3108703,0.58665085,0.30034357,1.0061648,0.331852,0.49983558,0.28201088,0.50591165,0.34735474,0.53294814,0.25849298,0.54164654,0.41694018,0.99875003,0.183747,1.0135796,0.50128496,1.568794,0.08879474,1.5967703,0.3859047,1.7927405,0.22008565,1.8383437,0.9166667,0.5038199,0.7866575,0.37732393,0.60916287,0.31391132,0.44638994,0.3270066,0.31040227,0.33333972,0.5226873,0.4263223,0.3149688,0.4411711,0.18473081,0.4426513,0.08921753,0.4377873,0.5366706,0.5253056,0.33123696,0.53465956,0.19301043,0.5351747,0.08333337,0.5279705,0.55644363,0.6040636,0.36806154,0.6203448,0.23968129,0.62254196,0.13856126,0.61883354,0.58342475,0.66614217,0.42096293,0.6840966,0.314744,0.68608886,0.22457427,0.6844705,0.08333338,0.520856,0.1828795,0.39818645,0.33489642,0.33191088,0.47709304,0.33677965,0.5453159,0.36657286,0.4322421,0.4839018,0.6539792,0.4822951,0.7732588,0.46612117,0.8628601,0.45068747,0.43305793,0.5757922,0.67569923,0.58323556,0.8145133,0.57794315,0.91666675,0.5755493,0.41620058,0.6369086,0.6359517,0.65202194,0.7663679,0.64645016,0.85900694,0.6388334,0.39085022,0.66808903,0.56026447,0.6672077,0.65587837,0.65490025,0.7241018,0.6424355,0
0.31187567,0.58835113,0.3008667,1.0083929,0.33285895,0.50070876,0.28310022,0.5071154,0.34836,0.53353804,0.25919795,0.5427925,0.41737545,1.0008091,0.18435791,1.0159767,0.5027441,1.5711704,0.08873548,1.6000965,0.3891566,1.7961974,0.22083159,1.8419849,0.9166667,0.5024531,0.7854019,0.37439063,0.6067044,0.3104162,0.44175097,0.32222718,0.30604675,0.32798254,0.5161453,0.42612225,0.30934304,0.4390462,0.18286566,0.43957368,0.08844483,0.43425855,0.53080857,0.52692544,0.32686764,0.5339232,0.1925177,0.5326363,0.08333332,0.52446073,0.55315125,0.60647416,0.3659554,0.6220281,0.24109882,0.62314004,0.14181954,0.61867845,0.5827205,0.66843593,0.42107955,0.68713397,0.31734923,0.68958366,0.22891285,0.688438,0.08333328,0.5205043,0.18461832,0.39749405,0.33747372,0.33046934,0.4797842,0.3369851,0.54696274,0.36869922,0.43531737,0.4833189,0.6555623,0.4819114,0.7750355,0.4666101,0.86540186,0.45204327,0.43521065,0.5759868,0.67546016,0.5832954,0.81395876,0.5786165,0.9166666,0.5768331,0.41737184,0.63763183,0.6364219,0.6532578,0.76794344,0.64793915,0.8618771,0.6404781,0.39150393,0.66953075,0.5608597,0.6687577,0.65591264,0.6566142,0.72356373,0.64431226,0
0.31219757,0.59050155,0.30106822,1.0087281,0.33315876,0.50123537,0.28372002,0.50825715,0.34865686,0.53359073,0.25940454,0.543653,0.4175426,1.0009354,0.1845938,1.016521,0.5032807,1.5712006,0.08849673,1.6002969,0.3896904,1.797123,0.22100417,1.8422691,0.9166667,0.5007067,0.78528625,0.37108532,0.6065716,0.30754328,0.44046763,0.32040367,0.30401063,0.32695913,0.51110786,0.42725244,0.30622786,0.44081098,0.18159454,0.44195387,0.087809935,0.43802738,0.52650046,0.5288913,0.32466802,0.53612626,0.1920515,0.536231,0.08333337,0.5302628,0.5504146,0.6091657,0.36430377,0.6246644,0.24129567,0.6265391,0.14261931,0.62346464,0.58207893,0.6714554,0.42048237,0.68988454,0.3177297,0.69245666,0.22963892,0.69161344,0.08333331,0.5210693,0.18387894,0.39707312,0.33591962,0.33040214,0.47823608,0.33654416,0.54739684,0.36504143,0.43803024,0.48397347,0.65670043,0.4823922,0.77561617,0.46693403,0.8659405,0.45193934,0.43824503,0.5766119,0.6755048,0.5839495,0.81360996,0.5791609,0.9166667,0.57756203,0.4205738,0.6378616,0.63586444,0.6516152,0.76694965,0.6471073,0.8616464,0.6415861,0.39620212,0.66925275,0.56602055,0.66959786,0.6650499,0.6597799,0.7377033,0.6506791,0
0.31229308,0.59160626,0.30112833,1.0086535,0.333255,0.50151926,0.28395286,0.50896966,0.34881192,0.5336551,0.2594696,0.54465103,0.4175923,1.0007511,0.18466434,1.0165561,0.50347275,1.5707622,0.08843263,1.6000308,0.3897382,1.7971791,0.22090442,1.8430144,0.91666675,0.50145894,0.78898245,0.37090954,0.61055714,0.3068146,0.44358617,0.3209469,0.30650148,0.32874808,0.51245135,0.42773855,0.30884403,0.44050923,0.18478106,0.44071835,0.09087871,0.43561336,0.52689075,0.53012353,0.32523414,0.5372339,0.19234511,0.5367872,0.0833334,0.53013855,0.55025893,0.6113374,0.3640797,0.6266072,0.24111229,0.62765336,0.14186208,0.6239078,0.58234906,0.6746229,0.41970605,0.69174,0.31667426,0.6931856,0.22819288,0.69181764,0.08333332,0.52191454,0.18299656,0.39662823,0.3349521,0.33024442,0.4765391,0.33759418,0.5430191,0.36814734,0.4389892,0.48522183,0.6571167,0.48311874,0.7758114,0.46745154,0.865959,0.4525312,0.4401327,0.57801425,0.67606956,0.5847444,0.8139264,0.579251,0.9166667,0.5774612,0.42289874,0.6390826,0.63643754,0.65229285,0.76723135,0.6470973,0.86149204,0.64155996,0.39884353,0.66975546,0.5677164,0.669678,0.667383,0.6599764,0.7411293,0.6514413,0
0.31186226,0.5933448,0.30119982,1.006957,0.33309454,0.50263697,0.28390285,0.5107385,0.34883708,0.53417647,0.25946283,0.5463298,0.4176507,0.99875337,0.18474899,1.0151607,0.50350094,1.5674286,0.088414975,1.5967346,0.38953373,1.7953391,0.22028896,1.8395674,0.9166667,0.49985948,0.7918856,0.37064427,0.6137332,0.3067879,0.44706145,0.32122856,0.31061652,0.3303393,0.5117049,0.42756388,0.30934957,0.44101268,0.1849611,0.4416855,0.091119975,0.43683386,0.5273221,0.5298962,0.3273919,0.5374081,0.19372165,0.5379835,0.083333336,0.532087,0.5511607,0.6113553,0.36585405,0.6261856,0.24202481,0.62783957,0.14109102,0.624753,0.5836652,0.67560345,0.4208372,0.69178265,0.31641358,0.6932118,0.22546946,0.69189477,0.083333276,0.5178313,0.1852488,0.3954876,0.33561724,0.32948744,0.47613302,0.33574113,0.54361135,0.36691332,0.43954006,0.48300913,0.65765023,0.4817364,0.7771042,0.4678219,0.8681222,0.45465788,0.43912783,0.5752783,0.67500305,0.5834721,0.8136463,0.5789789,0.9166666,0.57782024,0.4193946,0.6367227,0.6346473,0.65134394,0.7674367,0.6471485,0.86254144,0.64252895,0.39270827,0.66828036,0.5618327,0.67051256,0.66234773,0.661987,0.73638815,0.6548077,0
0.31167504,0.59710336,0.30143878,1.0033547,0.33308154,0.5049314,0.28396982,0.5146333,0.34895596,0.5351963,0.2595565,0.5496394,0.41784912,0.9950138,0.18502843,1.0116956,0.50362587,1.5610398,0.088114575,1.5895381,0.3887887,1.7909329,0.2166833,1.8322719,0.91666657,0.50715584,0.7984317,0.37840417,0.6171594,0.31231445,0.45185503,0.32339814,0.3170723,0.32860395,0.5076917,0.42531776,0.30807346,0.43689322,0.18160248,0.4349341,0.08725788,0.42759687,0.5215082,0.5254342,0.3267059,0.5305274,0.19395967,0.5287799,0.083333276,0.52098644,0.54368067,0.60725814,0.36312371,0.6177043,0.2408357,0.61653835,0.13882193,0.61157626,0.5750246,0.67529213,0.41397506,0.68768543,0.30927938,0.68551415,0.21666023,0.68212485,0.08333328,0.5033453,0.19733533,0.38527438,0.3510177,0.32124713,0.49072698,0.33077356,0.5578145,0.37014705,0.45275503,0.4717765,0.6698281,0.4841769,0.79003835,0.48171303,0.88132447,0.47786835,0.44497335,0.5655247,0.6788987,0.5876475,0.81578356,0.59357136,0.9166666,0.59932065,0.4185747,0.6303253,0.63222593,0.65612525,0.76488394,0.66204685,0.8610843,0.66560733,0.3857943,0.6663492,0.55725414,0.678753,0.6582652,0.67792195,0.73323876,0.67646503,0
0.3117917,0.60062057,0.30190438,0.99853146,0.33323687,0.50747913,0.28426704,0.5184418,0.34915084,0.5358289,0.25964,0.5519846,0.4182395,0.99085534,0.18556923,1.0062076,0.50363684,1.5544211,0.08672496,1.5734794,0.3873707,1.7867191,0.20900589,1.8104914,0.9166667,0.50567234,0.7978987,0.38835734,0.6216819,0.32149726,0.4594311,0.3250479,0.32843938,0.31868216,0.5199815,0.43798292,0.31910828,0.4495127,0.18839994,0.44827014,0.08877811,0.4448933,0.53155136,0.53378373,0.337123,0.5332984,0.2009425,0.53136265,0.083333336,0.52481675,0.54855305,0.61093104,0.36874202,0.61488175,0.24291763,0.61283123,0.13717891,0.6067157,0.56925184,0.67593205,0.4084679,0.68131787,0.30318415,0.67826307,0.20899944,0.67386466,0.08333338,0.44835287,0.22212534,0.3418294,0.38778773,0.282831,0.53251874,0.2987391,0.60865164,0.3539816,0.45771244,0.42822644,0.6750056,0.4717338,0.80170757,0.49478304,0.89989686,0.51247156,0.4371578,0.52064675,0.6700154,0.58126086,0.8116849,0.6140376,0.91666675,0.6387805,0.40070015,0.5909877,0.6074433,0.6546011,0.7409609,0.6890132,0.83977395,0.71345097,0.35816512,0.63943654,0.530011,0.68410945,0.63625914,0.7044401,0.7185362,0.7171691,0
0.31179237,0.6023752,0.30261865,0.9969137,0.33329868,0.50911224,0.2844037,0.5211077,0.34925964,0.5366718,0.25973552,0.55426013,0.4188414,0.99133563,0.18639593,1.0024917,0.50358117,1.5596461,0.0809378,1.534252,0.37712827,1.7906114,0.18250789,1.7291726,0.91666675,0.51802284,0.8084962,0.40150505,0.62437975,0.32965875,0.4744994,0.3278075,0.35431325,0.308518,0.51480407,0.4393688,0.32212302,0.44077846,0.19112872,0.43213737,0.09445006,0.4230805,0.5193757,0.5334522,0.32011828,0.52747333,0.19197315,0.5180767,0.08333339,0.50780463,0.53485304,0.61152804,0.34555334,0.6142114,0.22702467,0.6034867,0.13405974,0.5902854,0.56042355,0.68272287,0.386924,0.6914819,0.28170985,0.6826018,0.19642211,0.6696789,0.083333336,0.3559216,0.27125305,0.28787827,0.4733215,0.26452798,0.6298057,0.28771955,0.73098564,0.34162208,0.5131913,0.36786735,0.71819,0.45400596,0.83249533,0.5044556,0.9166667,0.54046375,0.45826235,0.4566809,0.67492527,0.5580107,0.79555964,0.6080799,0.8851046,0.6416863,0.38513663,0.53341496,0.5774235,0.63600945,0.6890586,0.6867712,0.7700883,0.7213474,0.30596924,0.59345716,0.46025652,0.67351437,0.55018157,0.7109048,0.62043,0.735472,0
0.30963933,0.6041928,0.30271396,0.9903346,0.33145988,0.51065874,0.28254882,0.5232793,0.34790358,0.53627783,0.2587151,0.5551413,0.41892275,0.98554415,0.18650518,0.995125,0.49974367,1.5703521,0.07677552,1.5102093,0.3592575,1.7821347,0.15677255,1.5673676,0.91666675,0.539078,0.77645236,0.39390787,0.5636929,0.3048987,0.381541,0.29447097,0.24478297,0.25831705,0.48918238,0.4178343,0.16447571,0.4454698,0.08333342,0.42126054,0.1093921,0.39598668,0.49287203,0.54296875,0.13251276,0.55174756,0.09159609,0.5081051,0.15593481,0.48190108,0.5092517,0.64783007,0.1798529,0.6578702,0.15735182,0.60882646,0.22453037,0.5765211,0.5383243,0.73744094,0.2711825,0.74168265,0.24105757,0.6977376,0.28265595,0.6677524,0.0833333,0.38017428,0.32727292,0.34200668,0.59315693,0.35026196,0.7798742,0.3795511,0.9166666,0.4222976,0.57581204,0.3197054,0.7581217,0.4638565,0.85248363,0.5653489,0.9047347,0.64510244,0.44017366,0.3683769,0.6219727,0.5340891,0.68363845,0.6075398,0.70812464,0.64185804,0.29115143,0.43724656,0.45906046,0.6045003,0.5098599,0.6581331,0.5352698,0.66810316,0.14843626,0.5159235,0.28449392,0.6472661,0.32792315,0.6802949,0.34614128,0.6764502,0
0.3058209,0.6074528,0.30224425,0.97949505,0.32792377,0.512321,0.2790463,0.52737194,0.34510872,0.53477913,0.25655648,0.5572437,0.4185323,0.97518605,0.18595615,0.98380417,0.4858472,1.5768609,0.06972404,1.4912329,0.33338007,1.7419662,0.12747006,1.322533,0.91666675,0.5629323,0.77255034,0.3855755,0.5444429,0.28391984,0.34670016,0.26750574,0.18570563,0.25988698,0.4619181,0.3996953,0.09972875,0.40099257,0.11497768,0.3563988,0.22570723,0.3396427,0.46732986,0.5343082,0.083333425,0.51584196,0.11842841,0.46667328,0.24280621,0.46408448,0.483833,0.6469666,0.1370459,0.6282415,0.18299234,0.58224493,0.29697222,0.57663125,0.5091749,0.740113,0.23198,0.7122734,0.26536155,0.672724,0.36375016,0.6687674,0.11579018,0.68445855,0.38949442,0.623064,0.675285,0.5145335,0.86455315,0.43201825,0.9166667,0.3594957,0.6498737,0.31812656,0.7721021,0.31554142,0.72503406,0.4015672,0.7008104,0.45981634,0.4813196,0.3295994,0.57352865,0.36790282,0.5368646,0.43653464,0.5231527,0.45999214,0.28165647,0.3801691,0.35604885,0.42849132,0.3258931,0.47123143,0.30911234,0.4721294,0.083333336,0.4458237,0.14784917,0.47451553,0.14729922,0.5036732,0.13592353,0.5007348,0
