NOSE_X,NOSE_Y,NECK_X,NECK_Y,LEFTEYE_X,LEFTEYE_Y,RIGHTEYE_X,RIGHTEYE_Y,LEFTEAR_X,LEFTEAR_Y,RIGHTEAR_X,RIGHTEAR_Y,LEFTSHOULDER_X,LEFTSHOULDER_Y,RIGHTSHOULDER_X,RIGHTSHOULDER_Y,LEFTELBOW_X,LEFTELBOW_Y,RIGHTELBOW_X,RIGHTELBOW_Y,LEFTWRIST_X,LEFTWRIST_Y,RIGHTWRIST_X,RIGHTWRIST_Y,WRIST_0_X,WRIST_0_Y,THUMBCMC_0_X,THUMBCMC_0_Y,THUMBMP_0_X,THUMBMP_0_Y,THUMBIP_0_X,THUMBIP_0_Y,THUMBTIP_0_X,THUMBTIP_0_Y,INDEXMCP_0_X,INDEXMCP_0_Y,INDEXPIP_0_X,INDEXPIP_0_Y,INDEXDIP_0_X,INDEXDIP_0_Y,INDEXTIP_0_X,INDEXTIP_0_Y,MIDDLEMCP_0_X,MIDDLEMCP_0_Y,MIDDLEPIP_0_X,MIDDLEPIP_0_Y,MIDDLEDIP_0_X,MIDDLEDIP_0_Y,MIDDLETIP_0_X,MIDDLETIP_0_Y,RINGMCP_0_X,RINGMCP_0_Y,RINGPIP_0_X,RINGPIP_0_Y,RINGDIP_0_X,RINGDIP_0_Y,RINGTIP_0_X,RINGTIP_0_Y,LITTLEMCP_0_X,LITTLEMCP_0_Y,LITTLEPIP_0_X,LITTLEPIP_0_Y,LITTLEDIP_0_X,LITTLEDIP_0_Y,LITTLETIP_0_X,LITTLETIP_0_Y,WRIST_1_X,WRIST_1_Y,THUMBCMC_1_X,THUMBCMC_1_Y,THUMBMP_1_X,THUMBMP_1_Y,THUMBIP_1_X,THUMBIP_1_Y,THUMBTIP_1_X,THUMBTIP_1_Y,INDEXMCP_1_X,INDEXMCP_1_Y,INDEXPIP_1_X,INDEXPIP_1_Y,INDEXDIP_1_X,INDEXDIP_1_Y,INDEXTIP_1_X,INDEXTIP_1_Y,MIDDLEMCP_1_X,MIDDLEMCP_1_Y,MIDDLEPIP_1_X,MIDDLEPIP_1_Y,MIDDLEDIP_1_X,MIDDLEDIP_1_Y,MIDDLETIP_1_X,MIDDLETIP_1_Y,RINGMCP_1_X,RINGMCP_1_Y,RINGPIP_1_X,RINGPIP_1_Y,RINGDIP_1_X,RINGDIP_1_Y,RINGTIP_1_X,RINGTIP_1_Y,LITTLEMCP_1_X,LITTLEMCP_1_Y,LITTLEPIP_1_X,LITTLEPIP_1_Y,LITTLEDIP_1_X,LITTLEDIP_1_Y,LITTLETIP_1_X,LITTLETIP_1_Y
0.51632816,0.25386155,0.5081054,0.42509958,0.5332429,0.216296,0.49424008,0.2175933,0.54653007,0.23073344,0.47618288,0.23210125,0.603619,0.42444196,0.41259187,0.4257572,0.65753096,0.68281925,0.34060702,0.6813263,0.5651578,0.7881962,0.43854463,0.79375607,0.55797416,0.7952101,0.5467573,0.7622703,0.52776086,0.74628276,0.5099201,0.74592674,0.49491584,0.7486356,0.51361006,0.7834206,0.49386072,0.7888328,0.4818596,0.7907903,0.4737222,0.79144114,0.5157059,0.8066006,0.49729568,0.8099158,0.4854035,0.80997765,0.47633263,0.8085003,0.5186473,0.8241402,0.501535,0.8266916,0.4909094,0.826011,0.48231554,0.8251565,0.5219368,0.83686996,0.50612277,0.84010243,0.49663413,0.8399301,0.4888148,0.8393346,0.43337512,0.8111045,0.4457215,0.7759245,0.4631361,0.7627102,0.4812037,0.7641771,0.4957075,0.7631194,0.47776195,0.8096735,0.50465375,0.8106781,0.5194992,0.8080963,0.5312804,0.8061187,0.4777757,0.8315033,0.5062583,0.829292,0.5230867,0.8250394,0.5358008,0.8231096,0.4760306,0.84501255,0.5022224,0.84768426,0.51795983,0.8461751,0.5298953,0.84560555,0.47400507,0.8524427,0.4950534,0.85695267,0.50818324,0.857259,0.51893806,0.85718673
0.51605666,0.25598356,0.50854135,0.4250798,0.53298485,0.2177513,0.49411514,0.22017635,0.5464791,0.23077206,0.47611868,0.23315261,0.6045069,0.4244544,0.41257584,0.4257052,0.65819275,0.6825809,0.34032354,0.68141973,0.5677173,0.78914225,0.43858844,0.7938409,0.558277,0.7955022,0.5467616,0.76304615,0.5278494,0.7470627,0.51022387,0.7462589,0.49528235,0.74880165,0.5134835,0.7837712,0.49371606,0.7890013,0.48181462,0.7909203,0.47358614,0.79155064,0.5156014,0.8070785,0.49717048,0.810208,0.4851427,0.8102766,0.4758689,0.80885184,0.51865965,0.8249109,0.5015614,0.8273915,0.4908886,0.82685614,0.48213157,0.8261399,0.5220662,0.8380184,0.50620705,0.84124714,0.4966701,0.84109116,0.48866215,0.8405742,0.43309763,0.81086916,0.44583198,0.77597994,0.46341795,0.76274794,0.48156723,0.76436114,0.49612942,0.7634343,0.47774145,0.80970854,0.5046671,0.8108792,0.5196008,0.80828846,0.53143203,0.80635226,0.47772533,0.8314605,0.50620174,0.82971007,0.52306813,0.8256033,0.53582853,0.82380843,0.47593394,0.84497017,0.5021333,0.8480813,0.51791537,0.8467838,0.5298542,0.84623903,0.47372034,0.85253805,0.4946341,0.8573467,0.5075318,0.8578301,0.5180587,0.8578247
0.5159235,0.25619495,0.508746,0.4250999,0.5328431,0.21791485,0.49402028,0.22038253,0.54643553,0.23075695,0.47606614,0.23328017,0.6049289,0.42449737,0.4125632,0.42570245,0.65891165,0.6827145,0.34015253,0.6814793,0.5690781,0.78950226,0.43761155,0.79396313,0.558537,0.7954778,0.5468729,0.76321566,0.5284277,0.7471412,0.51072955,0.746319,0.49579528,0.7488833,0.5138783,0.7841692,0.49380627,0.78913367,0.4817702,0.79060477,0.47336847,0.7908138,0.5159233,0.8071233,0.497249,0.8099304,0.48518714,0.80960935,0.475863,0.8077982,0.51886916,0.8245123,0.50166,0.82665473,0.4909009,0.82568693,0.48209184,0.8245939,0.5221615,0.83696985,0.50633323,0.8398782,0.49684128,0.8395054,0.48893836,0.8388645,0.43316215,0.8107422,0.44594592,0.7763339,0.4635998,0.7634548,0.48175663,0.7648785,0.49625283,0.7633779,0.47822452,0.8103121,0.5048194,0.8110522,0.51965654,0.80830705,0.53144276,0.8062877,0.47818884,0.83178884,0.5064345,0.829676,0.523251,0.82543784,0.53597033,0.82353896,0.47622538,0.8451773,0.5022854,0.84859264,0.5180614,0.84740216,0.5299394,0.84686315,0.47375986,0.85272986,0.49438703,0.8580691,0.50707114,0.8589149,0.51737994,0.85925597
0.51636285,0.25613928,0.5090039,0.4253081,0.53313035,0.21784279,0.4948047,0.22036679,0.54668605,0.23063849,0.47618407,0.23329967,0.605199,0.42476884,0.41280875,0.4258474,0.6594388,0.68279624,0.34020698,0.68131876,0.57030815,0.7900492,0.4362481,0.79386705,0.5590486,0.7956094,0.5473119,0.76344866,0.5285251,0.74740815,0.5108184,0.7465723,0.49594405,0.74946564,0.5144366,0.78437996,0.49439612,0.7900533,0.4824059,0.7918181,0.47412363,0.7922121,0.51654804,0.8073956,0.49785805,0.8106688,0.48574296,0.8105464,0.4763808,0.80883324,0.51948595,0.82495826,0.50225747,0.8274582,0.49150175,0.8267692,0.48274222,0.8257798,0.5227236,0.8378716,0.5068127,0.8410642,0.497208,0.84081113,0.48920575,0.8400748,0.43335295,0.81101745,0.44611543,0.7761265,0.46369594,0.76323694,0.4819974,0.764873,0.4966257,0.76349074,0.47829905,0.81012017,0.5051731,0.8113302,0.5200538,0.80871725,0.5318702,0.8068155,0.47838897,0.8319037,0.50690717,0.8298422,0.5236693,0.8255941,0.5363265,0.8237761,0.47658738,0.84540725,0.50288135,0.84837735,0.5185703,0.8469962,0.53040755,0.84644306,0.47429952,0.8528836,0.49533954,0.8574667,0.5081988,0.8578167,0.51864713,0.85769814
0.51729417,0.25596595,0.50926495,0.42532998,0.53383625,0.21769372,0.49644247,0.22030693,0.5471718,0.23051092,0.47652403,0.23328282,0.60560143,0.42481092,0.41292852,0.42584902,0.6598963,0.68280303,0.3403553,0.6812352,0.57137316,0.7912937,0.43619463,0.7936727,0.55951464,0.79582494,0.54760945,0.763659,0.5287053,0.7473986,0.5110263,0.74656826,0.49608263,0.7496772,0.5145833,0.7844124,0.49443844,0.789977,0.4824475,0.7918599,0.4741555,0.79238284,0.516869,0.8075863,0.49809852,0.81078774,0.48593488,0.8108921,0.47657037,0.8094719,0.520029,0.8252878,0.50274485,0.8278911,0.49193007,0.8275317,0.48315248,0.8269031,0.5234798,0.8383708,0.5075524,0.8416685,0.4979439,0.84170204,0.48994604,0.8412927,0.4335768,0.8111194,0.44635865,0.77601796,0.46398473,0.76323193,0.48233598,0.7654152,0.4969762,0.76432323,0.47837526,0.8102161,0.50514585,0.811609,0.5201229,0.8090397,0.531976,0.807201,0.47849682,0.8318682,0.50697917,0.8301829,0.5238627,0.826046,0.5365783,0.8242352,0.47682434,0.8453062,0.50294155,0.8483971,0.5186738,0.8471537,0.5305082,0.84669584,0.4746379,0.8527105,0.49552935,0.85741585,0.5084051,0.8577906,0.5188091,0.85764676
0.5179281,0.25587082,0.5097192,0.42534617,0.534353,0.21765661,0.49749655,0.22030723,0.54758686,0.23049249,0.47686538,0.2333431,0.606108,0.4248655,0.4133304,0.42582682,0.6602718,0.6829253,0.34074512,0.68117535,0.571785,0.7920131,0.4369831,0.79351914,0.56011176,0.79611504,0.5482244,0.7640694,0.5291251,0.74798024,0.51130694,0.7468988,0.49632683,0.7494914,0.5147004,0.7851101,0.4946712,0.79063946,0.48256376,0.7928035,0.47411278,0.7937302,0.51707846,0.8081899,0.4983832,0.81153375,0.48617175,0.81219095,0.47675607,0.8114003,0.5203465,0.8257963,0.5030204,0.82860327,0.4920232,0.82879084,0.4830642,0.8287928,0.52389467,0.83882123,0.50789225,0.84236157,0.49813527,0.84279615,0.4899567,0.8428812,0.43413717,0.81083906,0.44690165,0.77612865,0.464474,0.76341486,0.48272252,0.7654885,0.4972873,0.7642495,0.47856188,0.81023794,0.5052534,0.8115144,0.5202012,0.8089992,0.53203166,0.8072576,0.47866648,0.83190525,0.50713336,0.83016276,0.5240495,0.82620364,0.5368432,0.82459253,0.47703138,0.8455024,0.50331104,0.8485972,0.51909614,0.8474502,0.5310389,0.8471163,0.4749337,0.8531733,0.4960303,0.85785514,0.50894266,0.85833305,0.51946026,0.8583841
0.5182976,0.2558328,0.51030624,0.42541575,0.5347529,0.21775396,0.49806932,0.22047488,0.5480197,0.23059934,0.47720867,0.23359944,0.6065518,0.4250097,0.41406065,0.4258218,0.66033983,0.6833122,0.34147933,0.6810908,0.5715826,0.79240465,0.4382198,0.7932992,0.561099,0.79631984,0.5488961,0.76417255,0.5297113,0.7479599,0.5117436,0.7467614,0.4966569,0.74948364,0.5156504,0.7848284,0.49527836,0.79026866,0.4830853,0.79260194,0.4746077,0.79382133,0.517939,0.8077901,0.49895066,0.81103927,0.4865853,0.811741,0.47707084,0.81112516,0.521102,0.8253295,0.5036104,0.8279688,0.49255976,0.8280914,0.48361138,0.8281343,0.5245068,0.83823735,0.5083508,0.8414529,0.49852705,0.84178305,0.4903827,0.8419103,0.4345301,0.81084317,0.44735727,0.77607346,0.46471635,0.7634385,0.4829956,0.7653411,0.49778533,0.7638358,0.479081,0.8100992,0.50576556,0.8116804,0.52078456,0.8091958,0.5328538,0.8075826,0.47901636,0.8320382,0.50723517,0.83032084,0.52427536,0.8268311,0.53745025,0.825766,0.47699326,0.8456166,0.5029924,0.8493222,0.51888597,0.84881073,0.53112996,0.84881216,0.47455534,0.8532389,0.49503756,0.85898775,0.50761855,0.86034685,0.51800776,0.86111116
0.5184528,0.2558837,0.5106583,0.42545044,0.53497267,0.21799603,0.4983554,0.22075829,0.548331,0.23077792,0.47745156,0.23385261,0.6068029,0.42513606,0.4145138,0.4257648,0.6603785,0.68426806,0.34253398,0.68105507,0.571378,0.792243,0.43888855,0.7929938,0.5611895,0.79718393,0.549162,0.7642209,0.5300002,0.7471856,0.5120466,0.7464102,0.49696752,0.7491232,0.51617825,0.78359437,0.49535865,0.78927064,0.48305452,0.79157335,0.474619,0.7926076,0.5182942,0.80709255,0.4987608,0.8101862,0.48626778,0.81044275,0.4767696,0.80925673,0.5212062,0.82513404,0.50329286,0.8275436,0.49215144,0.8272286,0.48319092,0.8267007,0.5243091,0.838619,0.5078074,0.8418002,0.4979234,0.8417787,0.48979107,0.8414617,0.43484578,0.8116298,0.44749758,0.7765465,0.4648946,0.7633499,0.4831495,0.7650154,0.49784392,0.7636112,0.47919822,0.80992925,0.50601137,0.8111789,0.52100176,0.80864596,0.5329627,0.80699086,0.4791771,0.8318065,0.5075549,0.82992256,0.52453417,0.82626814,0.53753537,0.824994,0.47726452,0.84553224,0.50340486,0.8489651,0.5192372,0.8481027,0.5313973,0.8478684,0.47491744,0.8533677,0.4955471,0.85874546,0.50818324,0.85984075,0.51859033,0.8604664
0.5184538,0.25608203,0.51085514,0.42521554,0.53503686,0.21837366,0.4983674,0.22113892,0.5485655,0.23107608,0.47755182,0.23417988,0.6069143,0.42516312,0.41479596,0.42526793,0.6598469,0.6853749,0.34484047,0.68118274,0.568362,0.7878639,0.43901572,0.79240805,0.5625292,0.7881594,0.5516749,0.75279707,0.5320182,0.73615444,0.5143242,0.73780805,0.4994807,0.7408344,0.515864,0.7752124,0.4949304,0.7832901,0.4820049,0.7867916,0.47373137,0.788263,0.51814324,0.79984313,0.49839175,0.80572087,0.48523825,0.80759525,0.47546652,0.8078907,0.52155536,0.81825536,0.50313467,0.82305384,0.49177307,0.82459784,0.48303047,0.8257064,0.5255759,0.8315347,0.5090081,0.8363377,0.49908403,0.8379502,0.4910934,0.83905077,0.434885,0.8103539,0.44677505,0.77518356,0.46463308,0.7603451,0.48333898,0.76044744,0.49774548,0.7565535,0.4780621,0.8062692,0.5050869,0.8071365,0.5203794,0.8042128,0.53241515,0.802226,0.47864023,0.82835287,0.5074684,0.82641417,0.52469593,0.82210875,0.5376806,0.8195636,0.47725865,0.8420546,0.503783,0.84514344,0.519823,0.8435548,0.5319993,0.84190184,0.47525096,0.84941643,0.4959652,0.85438013,0.50882876,0.8547882,0.5195499,0.85408413
0.51845884,0.25666016,0.5110132,0.4248527,0.53516364,0.2190621,0.49841726,0.22165798,0.5488386,0.23165546,0.47762495,0.23452199,0.6067546,0.42519453,0.4152718,0.42451087,0.6578806,0.68539613,0.34647998,0.68128407,0.5659931,0.77410865,0.43890384,0.78987503,0.56517977,0.78145546,0.55397296,0.7448265,0.5346184,0.7276741,0.51618433,0.72996163,0.5008858,0.73335433,0.5189123,0.76574916,0.49793297,0.7753457,0.48476607,0.7810731,0.47543618,0.78524095,0.5208724,0.79066825,0.5010137,0.7964621,0.48786595,0.79971,0.477051,0.8019567,0.5240057,0.8096817,0.50571203,0.8136321,0.49374685,0.81566733,0.4835836,0.81752974,0.52759063,0.824286,0.51076186,0.82686466,0.5004009,0.82755405,0.49165115,0.8281117,0.4344208,0.8065061,0.4461145,0.7717166,0.46361327,0.7573256,0.48168123,0.75617474,0.49557695,0.75085646,0.4771333,0.8026158,0.5034688,0.80352795,0.51874846,0.8014396,0.5305564,0.8002762,0.47784713,0.82479084,0.5060768,0.8232912,0.5233208,0.8201073,0.53643984,0.8184456,0.4768111,0.8387488,0.5028036,0.84094065,0.5187933,0.8394123,0.5311083,0.8378902,0.47502562,0.8462623,0.49558452,0.84980655,0.5083953,0.8495464,0.5189422,0.8482851
