NOSE_X,NOSE_Y,NECK_X,NECK_Y,LEFTEYE_X,LEFTEYE_Y,RIGHTEYE_X,RIGHTEYE_Y,LEFTEAR_X,LEFTEAR_Y,RIGHTEAR_X,RIGHTEAR_Y,LEFTSHOULDER_X,LEFTSHOULDER_Y,RIGHTSHOULDER_X,RIGHTSHOULDER_Y,LEFTELBOW_X,LEFTELBOW_Y,RIGHTELBOW_X,RIGHTELBOW_Y,LEFTWRIST_X,LEFTWRIST_Y,RIGHTWRIST_X,RIGHTWRIST_Y,WRIST_0_X,WRIST_0_Y,THUMBCMC_0_X,THUMBCMC_0_Y,THUMBMP_0_X,THUMBMP_0_Y,THUMBIP_0_X,THUMBIP_0_Y,THUMBTIP_0_X,THUMBTIP_0_Y,INDEXMCP_0_X,INDEXMCP_0_Y,INDEXPIP_0_X,INDEXPIP_0_Y,INDEXDIP_0_X,INDEXDIP_0_Y,INDEXTIP_0_X,INDEXTIP_0_Y,MIDDLEMCP_0_X,MIDDLEMCP_0_Y,MIDDLEPIP_0_X,MIDDLEPIP_0_Y,MIDDLEDIP_0_X,MIDDLEDIP_0_Y,MIDDLETIP_0_X,MIDDLETIP_0_Y,RINGMCP_0_X,RINGMCP_0_Y,RINGPIP_0_X,RINGPIP_0_Y,RINGDIP_0_X,RINGDIP_0_Y,RINGTIP_0_X,RINGTIP_0_Y,LITTLEMCP_0_X,LITTLEMCP_0_Y,LITTLEPIP_0_X,LITTLEPIP_0_Y,LITTLEDIP_0_X,LITTLEDIP_0_Y,LITTLETIP_0_X,LITTLETIP_0_Y,WRIST_1_X,WRIST_1_Y,THUMBCMC_1_X,THUMBCMC_1_Y,THUMBMP_1_X,THUMBMP_1_Y,THUMBIP_1_X,THUMBIP_1_Y,THUMBTIP_1_X,THUMBTIP_1_Y,INDEXMCP_1_X,INDEXMCP_1_Y,INDEXPIP_1_X,INDEXPIP_1_Y,INDEXDIP_1_X,INDEXDIP_1_Y,INDEXTIP_1_X,INDEXTIP_1_Y,MIDDLEMCP_1_X,MIDDLEMCP_1_Y,MIDDLEPIP_1_X,MIDDLEPIP_1_Y,MIDDLEDIP_1_X,MIDDLEDIP_1_Y,MIDDLETIP_1_X,MIDDLETIP_1_Y,RINGMCP_1_X,RINGMCP_1_Y,RINGPIP_1_X,RINGPIP_1_Y,RINGDIP_1_X,RINGDIP_1_Y,RINGTIP_1_X,RINGTIP_1_Y,LITTLEMCP_1_X,LITTLEMCP_1_Y,LITTLEPIP_1_X,LITTLEPIP_1_Y,LITTLEDIP_1_X,LITTLEDIP_1_Y,LITTLETIP_1_X,LITTLETIP_1_Y
0.30690113,0.25445473,0.2946912,0.42850205,0.3324282,0.21845746,0.27613702,0.21980977,0.35395604,0.2336309,0.24650206,0.23330942,0.43341547,0.4295792,0.15596692,0.4274249,0.509378,0.6923758,0.05535671,0.68680793,0.3653074,0.79769516,0.18525504,0.8008867,0.36458775,0.80459404,0.34933102,0.7712096,0.32198575,0.75483364,0.29612744,0.75402427,0.274527,0.7567127,0.30162653,0.7914725,0.27304694,0.79700106,0.25539458,0.7991514,0.24347562,0.80022794,0.30424666,0.81469464,0.2777,0.81782115,0.26018828,0.818369,0.24665323,0.81750804,0.3080357,0.8323351,0.28359526,0.83479184,0.26788726,0.8342942,0.2550714,0.8337526,0.31217802,0.8452233,0.28941232,0.8484633,0.27544197,0.84861016,0.26374707,0.8483717,0.18477339,0.8183192,0.20318532,0.783098,0.2282467,0.7702429,0.2545451,0.7721386,0.27593964,0.7711287,0.24932027,0.817883,0.2883621,0.81893015,0.30989894,0.81640697,0.3270782,0.8149003,0.24923982,0.84018254,0.29045388,0.83783674,0.31455952,0.83408165,0.33299524,0.8330925,0.24627066,0.8539341,0.28419954,0.8570237,0.30674967,0.8561906,0.32395953,0.85611695,0.2426317,0.86158925,0.27241522,0.8666023,0.290387,0.8673817,0.30510756,0.86770093
0.30699798,0.25478625,0.2947351,0.42806157,0.33253884,0.2187172,0.27620685,0.22004671,0.35396224,0.23369747,0.24666695,0.23345366,0.4334313,0.42944175,0.1560389,0.4266814,0.50937766,0.6920522,0.053509824,0.6862329,0.36576226,0.79752386,0.18505715,0.80223817,0.365557,0.8032358,0.34910765,0.77010244,0.32192835,0.75404114,0.2963423,0.75345224,0.27469754,0.75621355,0.30251396,0.7907466,0.27337986,0.79601014,0.25570136,0.7979959,0.24362893,0.7989628,0.30519074,0.8137126,0.27807444,0.81664544,0.26049468,0.8167304,0.2469413,0.81547374,0.30886897,0.8309805,0.28394166,0.83311766,0.26821488,0.83223873,0.25542712,0.8313121,0.31273538,0.84327996,0.2896158,0.8459783,0.27546167,0.84560424,0.26375136,0.8449269,0.18486091,0.81833166,0.20348437,0.7829557,0.22851773,0.770171,0.2549638,0.77215195,0.27639568,0.77112216,0.24953887,0.81788313,0.28854772,0.8190221,0.31007332,0.81628305,0.32727584,0.8146037,0.24933621,0.83992606,0.29066417,0.8376073,0.31480432,0.8337741,0.33320373,0.83268934,0.24618918,0.8534245,0.2840587,0.8567938,0.30672747,0.8561171,0.324013,0.856168,0.24245813,0.8608354,0.2717886,0.8663071,0.28952935,0.8675503,0.30409393,0.8684032
0.30721095,0.25529414,0.2949048,0.42790568,0.33266756,0.2190835,0.27650946,0.22038814,0.3539551,0.23383228,0.2470164,0.23399839,0.4335226,0.42938873,0.15628698,0.42642263,0.50924975,0.6911839,0.053209912,0.68615466,0.36649084,0.79375553,0.18527505,0.8021304,0.3668543,0.8025476,0.35028607,0.76886946,0.32301843,0.7523088,0.29713458,0.7525443,0.27539226,0.7559912,0.304062,0.7888845,0.27409962,0.7947949,0.25615272,0.797517,0.24398667,0.7990536,0.30688444,0.81216055,0.2788874,0.8159692,0.26083848,0.8169429,0.246909,0.8165048,0.31050393,0.8296794,0.2850444,0.83285457,0.26881316,0.83287394,0.25557032,0.83271503,0.31426865,0.8422147,0.29091758,0.845798,0.2765896,0.8462588,0.2647486,0.8461943,0.18608683,0.81811345,0.20459227,0.7827419,0.22924067,0.7697443,0.2555287,0.77168334,0.27690136,0.7705978,0.2500026,0.8173786,0.28907305,0.818537,0.31054157,0.8157491,0.32774752,0.8139334,0.24995951,0.83958435,0.29157424,0.8372478,0.31576222,0.8333108,0.33417717,0.8318949,0.2470343,0.8530982,0.28508523,0.8562505,0.30781677,0.8552739,0.32518893,0.85485584,0.24357562,0.86042947,0.27320224,0.8656865,0.2910779,0.8665638,0.30576834,0.8669526
0.3072966,0.25591382,0.29499376,0.42783988,0.33267832,0.2192529,0.27662987,0.22080943,0.35379964,0.23391241,0.24738437,0.23462352,0.43357906,0.42936888,0.15640844,0.4263109,0.508374,0.6907302,0.05292729,0.6861061,0.3661714,0.78813475,0.18542597,0.8024499,0.3674219,0.80302733,0.35061428,0.76932263,0.32323357,0.7522006,0.297229,0.7524447,0.2753816,0.7561048,0.3043592,0.78851295,0.27405596,0.7944529,0.25595132,0.7971276,0.24365193,0.7985747,0.30712414,0.8121251,0.27857375,0.81588876,0.26007906,0.8168138,0.24572234,0.81631494,0.31059995,0.8300235,0.2846392,0.83323944,0.26794466,0.8333388,0.25430548,0.83321255,0.31420377,0.8430238,0.2903521,0.8464084,0.27557898,0.84687865,0.26327476,0.8467958,0.18600075,0.81801164,0.20472172,0.78262746,0.22944736,0.76972854,0.25583196,0.7716193,0.27737606,0.77059567,0.25007114,0.8175462,0.28929615,0.81862336,0.3107463,0.81578004,0.32786268,0.8139715,0.24995267,0.83981425,0.29165024,0.83746076,0.3156963,0.8333561,0.33392075,0.8318119,0.24696995,0.85337603,0.2849785,0.8563182,0.3075742,0.85506815,0.32483438,0.85448974,0.24351965,0.8608034,0.27293703,0.8659766,0.2906801,0.8667856,0.30528572,0.86726004
0.30735,0.25609002,0.2950033,0.42783773,0.33271322,0.21943913,0.27668765,0.22095431,0.35374293,0.23403941,0.24768327,0.23492059,0.43358833,0.42937452,0.15641828,0.4263009,0.50570214,0.6907964,0.052343205,0.68610114,0.3659617,0.7853681,0.18387893,0.80013853,0.3725281,0.79140854,0.357879,0.75291324,0.32990912,0.7358828,0.30336884,0.73780435,0.28120458,0.74132586,0.30611536,0.77345765,0.27708772,0.7823494,0.25871497,0.7875324,0.24560797,0.79129434,0.30812135,0.798233,0.2808812,0.8036768,0.26252455,0.806722,0.246899,0.8090475,0.31182054,0.81751,0.28666782,0.8210615,0.27040902,0.8225699,0.25603876,0.82461095,0.3168207,0.832005,0.2933039,0.83473796,0.27922934,0.8351525,0.26712218,0.8356997,0.18468775,0.8142963,0.20090641,0.77975655,0.22674476,0.7645424,0.25345692,0.7634794,0.27414384,0.7595599,0.24657308,0.81060094,0.2854162,0.81102055,0.30725145,0.8089055,0.3243256,0.80773723,0.24797349,0.83331513,0.28916174,0.83225197,0.31383172,0.8293638,0.33268815,0.82772094,0.24671218,0.84741735,0.28417414,0.84967136,0.30704626,0.8486069,0.32463503,0.8472364,0.24455142,0.8549871,0.2747613,0.85753155,0.292808,0.8573751,0.3076625,0.8563202
0.30734804,0.25608736,0.2951722,0.42679697,0.33272356,0.2193645,0.27671164,0.22095102,0.35363337,0.2340417,0.24796265,0.23494047,0.43259698,0.4272621,0.15774746,0.42633185,0.5046774,0.68964905,0.05280798,0.68596196,0.37910888,0.7270581,0.18630138,0.78432924,0.40729696,0.7109798,0.38260835,0.67805123,0.3483358,0.6659598,0.32047427,0.6721922,0.3008504,0.6726909,0.33306855,0.6914644,0.2957827,0.7110687,0.27743104,0.7226248,0.2642094,0.73106235,0.33710954,0.715557,0.29731506,0.73506004,0.27665746,0.74551016,0.26187462,0.7528523,0.34337568,0.737574,0.306284,0.7564494,0.28777114,0.7642007,0.27511716,0.76881117,0.35141215,0.7579826,0.32128546,0.771159,0.30643257,0.77568334,0.29611838,0.77796453,0.17454317,0.7866857,0.18383376,0.7539003,0.2031512,0.73424625,0.2237529,0.7279826,0.24018055,0.7226058,0.22555192,0.77141184,0.25849473,0.7741469,0.2782912,0.77473766,0.29413015,0.7765068,0.22853184,0.794263,0.26399428,0.7944651,0.28633776,0.7950616,0.30409998,0.79771805,0.22853877,0.8112862,0.2629438,0.8130368,0.28346452,0.8168072,0.2997293,0.8211782,0.22656596,0.82332164,0.25423208,0.8275422,0.27040336,0.83022004,0.28380767,0.8330337
0.30736428,0.25595313,0.29540116,0.42630312,0.3327683,0.21921846,0.27678233,0.22081833,0.35358307,0.23399536,0.24817866,0.23490073,0.43210497,0.42627367,0.15869737,0.42633256,0.50387967,0.68948287,0.05304674,0.6859358,0.38270578,0.7093847,0.18768598,0.77570415,0.41374344,0.7014046,0.38850185,0.66965765,0.35472867,0.6555931,0.32741085,0.6608539,0.30707148,0.6620017,0.34276924,0.6796637,0.3078826,0.69735366,0.28791866,0.7085237,0.2724461,0.7170745,0.34704682,0.70290023,0.3094999,0.7200525,0.28671363,0.7303247,0.2689489,0.738649,0.3532674,0.724838,0.31826892,0.7412547,0.2980749,0.7492551,0.28264916,0.7550789,0.36092716,0.745794,0.33213618,0.75756764,0.31695116,0.7621051,0.30533543,0.76524425,0.1724823,0.7791226,0.18162785,0.7478728,0.19907299,0.7270687,0.21757318,0.7195487,0.23242036,0.71364665,0.2207975,0.7617252,0.25235617,0.7634201,0.27222866,0.764385,0.28829527,0.7663276,0.22300903,0.78406405,0.25597313,0.78329945,0.27874893,0.7839084,0.29751122,0.78593767,0.22267044,0.8013891,0.25462976,0.80368006,0.27607197,0.80745953,0.29320282,0.81152153,0.22058824,0.8142862,0.24722135,0.81921333,0.26448023,0.8226401,0.2789164,0.82605946
0.30735415,0.25587535,0.2957771,0.42610395,0.33280188,0.21914293,0.27681234,0.22072472,0.35355976,0.23395406,0.24826705,0.23486759,0.43191755,0.42601496,0.15963668,0.4261929,0.5029762,0.69012624,0.05337559,0.6831495,0.39974687,0.6716554,0.18123922,0.7493649,0.4254312,0.6545987,0.3980142,0.62758625,0.36756364,0.6126543,0.34534663,0.60701835,0.3298006,0.6035231,0.35754132,0.62436444,0.32681075,0.6404722,0.31120855,0.65342087,0.2998761,0.66448694,0.3622526,0.64509463,0.3301982,0.6629694,0.31188875,0.67625785,0.29765406,0.6881382,0.36916035,0.66677,0.3408072,0.68456894,0.32522714,0.6959884,0.3131624,0.7054962,0.37734094,0.68848145,0.3552618,0.7005616,0.34434035,0.70738536,0.3355076,0.71318656,0.17563246,0.7638344,0.17635484,0.73411083,0.18724947,0.70884997,0.20018964,0.6937486,0.21195768,0.6830362,0.22480568,0.7211842,0.24712309,0.7155843,0.2584925,0.7194782,0.26696858,0.7266009,0.23180087,0.74207336,0.25281328,0.7373165,0.26525795,0.7402668,0.2753557,0.74633765,0.23405929,0.76236695,0.25352854,0.7616204,0.26397988,0.7656326,0.27217427,0.77130115,0.23220965,0.7817594,0.2493754,0.7845158,0.2564252,0.78695107,0.2616191,0.7899891
0.30739212,0.25587702,0.29374054,0.42534924,0.33291098,0.21913272,0.27714533,0.22051318,0.35356018,0.23397718,0.24837048,0.23468669,0.42762133,0.42601433,0.15985973,0.42468414,0.5027473,0.69192076,0.053506248,0.6830083,0.42066818,0.6182131,0.16862285,0.7116757,0.4347766,0.6113541,0.41716808,0.5787744,0.39209452,0.55561334,0.37257266,0.5393869,0.36131,0.52270126,0.38710305,0.5669026,0.3773227,0.5587229,0.3773507,0.5558633,0.37717086,0.5545058,0.39517957,0.5836117,0.39013487,0.58226347,0.38998166,0.58097565,0.38868672,0.5819206,0.40551066,0.59944826,0.40026146,0.5996871,0.39850998,0.59970486,0.39560276,0.60166186,0.41669548,0.61388135,0.40954015,0.61588615,0.40772715,0.61698616,0.4056819,0.6192482,0.1666957,0.71827626,0.16537383,0.67930084,0.175386,0.64544433,0.184954,0.622012,0.1843025,0.60186934,0.22232257,0.6390599,0.23999216,0.6288492,0.23344752,0.63885605,0.22424662,0.64753544,0.23295893,0.65963393,0.24928287,0.6539534,0.24203771,0.66190284,0.23172747,0.6688218,0.23754743,0.6834154,0.24910012,0.6842565,0.24127263,0.68881494,0.23070875,0.6921356,0.2376449,0.7083563,0.24674542,0.71179557,0.23867927,0.7134742,0.22928493,0.71422267
0.30732036,0.25658205,0.2922384,0.42525017,0.3328145,0.2195057,0.27710515,0.22051018,0.35342884,0.23453629,0.24837457,0.23473807,0.42458153,0.42599973,0.1598953,0.4245006,0.5035112,0.70440936,0.0542876,0.69145304,0.42862174,0.58804196,0.16944495,0.6762338,0.42390624,0.60081416,0.40053824,0.57656634,0.38534507,0.5418979,0.377484,0.5136627,0.3684202,0.49199927,0.39708698,0.51899076,0.40000936,0.4877987,0.40512097,0.47323185,0.41006204,0.46177986,0.4121212,0.5232178,0.41671243,0.4927049,0.42209,0.47776714,0.4273146,0.46618608,0.42736888,0.5331357,0.4329273,0.5045891,0.43869686,0.49023584,0.4439079,0.4783789,0.44335303,0.54728955,0.44898403,0.5254259,0.45337278,0.51236725,0.45808405,0.500267,0.16527684,0.6851523,0.16093265,0.644231,0.16951528,0.6052125,0.17671543,0.5772713,0.1747999,0.5540805,0.2023846,0.6042229,0.21993749,0.5816967,0.22240922,0.5740815,0.22201566,0.5704114,0.2151708,0.62122726,0.23307912,0.5977384,0.23366772,0.5891333,0.23063107,0.58564436,0.2236186,0.64102703,0.23779729,0.62185067,0.23573965,0.6140575,0.22996676,0.6106159,0.22913912,0.662927,0.23889671,0.6487355,0.23664965,0.64135784,0.23226368,0.6371585
