sign_id,sign_duration_s,inference_ms,e2e_latency_ms,rtf,top_gloss,top_prob_pct
1,2.654,28.9,113.2,0.0109,Takraw,59.1
2,4.759,124.3,212.4,0.0261,Takraw,65.5
3,2.880,31.8,123.6,0.0110,Takraw,70.5
4,3.460,35.1,125.7,0.0101,Takraw,62.6
5,3.595,34.5,123.4,0.0096,Takraw,80.7
6,3.375,35.9,122.3,0.0106,Takraw,83.2
7,2.843,30.4,121.9,0.0107,Takraw,80.1
8,2.874,30.0,122.5,0.0104,Takraw,65.4
9,2.835,32.8,125.2,0.0116,Takraw,79.5
10,2.869,30.3,123.2,0.0106,Takraw,67.0
11,2.927,32.6,121.0,0.0111,Takraw,83.1
